species,num_genomes,rep_number,centroid_90,centroid_99
611554,3,2,1931,2023
611554,3,0,2232,3560
611554,3,4,1907,2069
611554,3,1,2112,3278
619501,4,8,1482,3776
611554,3,6,2180,2471
611554,3,3,1848,2095
783244,10,1,1728,4447
783244,11,8,1708,4980
611554,3,5,1863,1915
611554,3,7,1865,2382
611554,3,9,1770,2551
611554,3,8,1898,1951
611554,4,0,2117,3290
611554,4,3,2034,3088
240891,11,8,1479,3192
611554,4,5,2214,2518
611554,4,6,1997,2551
611554,4,2,2042,2312
571325,5,1,1637,1673
611554,4,4,1947,2224
611554,4,7,1899,1980
611554,4,8,1773,2558
611554,5,0,2199,2847
611554,4,9,2060,2400
611554,5,1,2105,2407
611554,5,3,2058,3119
611554,5,2,2042,3190
611554,5,6,2019,2914
611554,5,4,2289,2610
571325,5,0,1547,1569
611554,5,5,2074,2822
611554,5,7,1942,3312
611554,5,9,1803,2095
611554,5,8,2085,2447
611554,6,2,2196,3284
611554,6,1,2113,3323
611554,6,0,2210,3411
611554,6,5,2209,3325
611554,6,3,2317,2672
611554,6,4,2231,3011
571325,3,7,1517,1572
611554,7,1,2199,3290
611554,6,6,1942,3312
611554,6,8,2073,2479
611554,7,0,2258,3537
611554,7,5,2009,3397
611554,6,9,2038,2182
611554,7,3,2232,3016
611554,7,2,2322,2708
611554,7,6,2218,2712
611554,7,7,2121,2540
571325,6,0,1647,1686
611554,7,9,2020,2208
611554,7,8,2118,2309
611554,8,2,2232,3020
611554,8,0,2240,3521
611554,8,5,2250,2764
240891,17,6,1620,3906
611554,8,3,2315,3468
611554,8,8,2056,2292
611554,8,6,2166,2596
611554,8,4,2181,3828
571325,6,1,1584,1606
611554,8,7,2122,2317
611554,8,1,2338,2754
611554,8,9,2237,3460
240891,10,0,1575,3326
240891,10,3,1450,3038
240891,10,4,1514,3432
240891,10,5,1489,3278
240891,10,2,1449,2996
240891,10,6,1501,3127
240891,10,8,1458,3020
571325,4,8,1688,1754
240891,21,2,1656,4237
611554,7,4,2288,3420
240891,10,7,1520,3168
240891,11,0,1591,3244
240891,11,1,1464,3114
240891,11,2,1461,3163
240891,10,9,1469,3060
240891,11,5,1523,3263
240891,11,4,1510,3395
240891,11,3,1526,3554
571325,5,9,1573,1596
240891,11,7,1500,3217
240891,11,6,1552,3336
240891,12,2,1603,3700
240891,23,8,1737,4575
240891,11,9,1576,3308
240891,12,1,1483,3322
240891,12,0,1476,3279
240891,12,4,1548,3370
240891,2,7,1375,1623
240891,12,3,1525,3532
571325,6,5,1762,1808
240891,12,6,1539,3359
240891,12,5,1563,3403
240891,12,7,1486,3318
240891,12,9,1588,3450
240891,12,8,1588,3391
240891,14,1,1548,3732
240891,14,2,1576,3593
240891,14,3,1605,3632
240891,14,0,1655,3983
240891,14,4,1549,3486
783244,12,2,1813,5309
240891,14,6,1615,3642
240891,14,7,1598,3630
240891,14,5,1523,3565
240891,14,9,1559,3618
240891,15,0,1576,3836
240891,15,1,1588,3705
240891,4,0,1248,1887
240891,14,8,1652,3854
240891,15,3,1561,3624
240891,15,2,1607,3688
783244,10,0,1701,4873
571325,4,6,1605,1683
240891,15,4,1554,3712
240891,15,5,1713,3840
240891,15,6,1599,3709
240891,15,7,1699,3996
240891,15,9,1623,3864
240891,15,8,1580,3692
240891,17,1,1593,3812
240891,17,0,1612,3784
240891,17,3,1766,4093
240891,17,2,1656,3920
783244,10,8,1681,4712
240891,17,7,1651,4032
240891,17,4,1671,3934
240891,17,8,1718,4017
240891,17,5,1722,4202
240891,19,2,1703,4166
240891,17,9,1606,3874
240891,19,1,1816,4320
240891,19,0,1744,4140
240891,19,5,1669,4172
240891,19,3,1765,4399
571325,5,6,1748,1792
240891,19,6,1768,4301
240891,19,8,1791,4530
240891,19,9,1789,4336
240891,21,0,1735,4398
240891,19,7,1636,4062
240891,21,1,1791,4568
240891,21,4,1779,4438
240891,21,3,1688,4344
240891,7,4,1494,2628
240891,21,8,2033,4659
783244,11,3,1790,4899
240891,21,5,1747,4315
240891,23,0,1699,4432
240891,21,9,1590,4021
240891,23,2,1802,4611
240891,21,7,1804,4465
240891,23,3,1883,4601
240891,23,4,1839,4845
240891,23,1,1696,4451
240891,23,5,1826,4596
240891,23,6,2059,4804
571325,3,0,1422,1431
240891,23,7,1627,4175
240891,23,9,1826,4794
240891,2,2,1231,1635
240891,2,1,1209,1606
240891,2,4,1265,1669
240891,2,3,1204,1604
240891,2,0,1192,1594
240891,19,4,1629,4088
240891,9,6,1469,3084
240891,2,5,1199,1607
571325,6,9,1763,1850
240891,2,8,1294,1643
240891,2,6,1223,1483
240891,3,0,1234,1901
240891,2,9,1180,1376
240891,3,2,1311,1889
240891,3,1,1241,1749
240891,3,3,1302,1979
240891,3,5,1294,1797
240891,3,4,1235,1954
240891,3,6,1435,2056
783244,11,1,1795,5388
240891,3,7,1420,1965
240891,3,9,1102,1480
240891,3,8,1245,1708
240891,4,2,1328,2306
240891,21,6,1805,4679
240891,4,4,1390,2119
240891,4,1,1396,2263
240891,4,3,1265,2087
240891,4,6,1454,2262
240891,4,5,1479,2377
571325,4,4,1520,1535
240891,4,8,1199,1892
240891,4,7,1354,2102
240891,5,3,1422,2321
240891,5,2,1350,2431
240891,5,1,1403,2598
240891,4,9,1243,1866
240891,5,4,1482,2478
240891,5,0,1436,2531
240891,5,6,1392,2284
240891,5,5,1470,2459
571325,5,7,1689,1757
240891,5,8,1280,2126
240891,5,7,1273,2214
240891,5,9,1355,2481
240891,6,1,1378,2620
240891,6,0,1421,2789
240891,6,4,1476,2631
240891,6,5,1477,2523
240891,6,3,1508,2636
240891,6,2,1431,2481
240891,6,6,1294,2399
571325,2,6,1205,1210
240891,6,8,1411,2721
240891,6,9,1353,2510
240891,6,7,1366,2463
240891,7,1,1442,2698
240891,7,0,1438,2897
240891,7,2,1522,2777
240891,7,3,1520,2829
240891,7,5,1305,2491
240891,7,6,1396,2608
240891,7,8,1377,2706
571325,4,1,1401,1417
571325,4,9,1608,1667
240891,7,9,1407,2595
240891,8,1,1587,2947
240891,8,0,1564,2952
240891,8,2,1538,2997
240891,8,4,1339,2652
240891,8,6,1475,3126
240891,8,3,1526,2798
240891,8,5,1407,2697
988598,15,5,3423,4634
240891,8,9,1407,2832
783244,19,8,1785,5759
240891,8,7,1400,2871
240891,8,8,1431,2757
240891,9,0,1618,3114
240891,9,2,1542,2962
240891,9,1,1564,3182
240891,9,8,1435,2963
240891,9,4,1426,2851
240891,9,3,1362,2765
240891,9,7,1475,2965
240891,9,5,1485,3273
571325,3,2,1368,1375
988598,10,0,3214,4350
240891,9,9,1450,2936
988598,10,1,3494,4733
988598,18,3,3277,4368
988598,10,3,2861,3392
988598,10,2,2937,3475
988598,20,5,2989,3702
988598,10,4,2928,3572
988598,10,6,2778,3441
988598,10,5,3151,4034
571325,3,4,1479,1486
988598,10,7,2606,3050
988598,10,8,2734,3272
988598,10,9,3287,4430
988598,20,4,3635,5149
988598,11,1,3101,3689
988598,11,0,3502,4768
988598,11,2,3191,3766
988598,11,4,3174,4088
988598,11,3,3096,3958
988598,11,5,2851,3530
783244,12,3,1755,5026
988598,11,7,2811,3409
988598,11,8,3319,4508
988598,11,6,2810,3347
988598,11,9,3140,4162
240891,7,7,1442,2934
988598,12,0,3159,3792
988598,12,2,3095,3979
988598,12,3,3244,4226
988598,12,1,3231,3849
988598,22,9,3215,4221
571325,2,5,1467,1472
988598,12,4,2910,3627
988598,12,5,2822,3377
988598,25,7,3368,4353
988598,12,6,3013,3709
988598,25,4,4046,5410
988598,12,8,3161,4237
988598,12,7,3381,4612
988598,13,0,3261,3922
