cluster_90_id	Dysp_0020	VMG_0002	Dysp_0056	Dysp_0004	Dysp_0120	Dysp_0008	Dysp_0032	Dysp_0152	Dysp_0083	VMG_0073	VMG_0080	Dysp_0007	VMG_0006	Dysp_0109	VMG_0038	Dysp_0123	VMG_0118	VMG_0024	VMG_0066	Dysp_0041	VMG_0001	VMG_0048	Dysp_0139	Dysp_0163	VMG_0072	VMG_0156	VMG_0057	VMG_0081	VMG_0159	VMG_0139	Dysp_0097	Dysp_0098	VMG_0147	Dysp_0108
ERR10897749.sbin.1_01488	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0
ERR10897832.sbin.2_00629	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCF_000155935.2_00358	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MG1114.mbin.3_00710	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	0	1	1	0	1	0	1	1	1	1	1	1	1
ERR10897611.sbin.1_00992	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
ERR10897611.sbin.1_01129	1	1	1	0	0	1	1	1	1	1	1	0	1	0	0	1	1	0	0	0	1	0	1	0	0	1	0	1	1	0	1	0	1	1
ERR10897611.sbin.1_01269	1	0	1	0	1	1	0	1	0	1	1	0	0	0	1	1	1	1	1	0	1	0	1	1	0	0	0	1	1	0	1	1	1	1
ERR10897611.sbin.1_00326	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ERR10897622.sbin.4_00666	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ERR10897622.sbin.4_00742	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ERR10897622.sbin.4_01220	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ERR10897749.sbin.1_00706	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCA_007826985.1_00068	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCF_007785975.1_00671	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
MG247.mbin.3_00048	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ERR10897611.sbin.1_00036	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ERR10897611.sbin.1_00681	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ERR10897611.sbin.1_00769	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ERR10897611.sbin.1_01273	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ERR10897622.sbin.4_01445	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ERR10897622.sbin.4_01554	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ERR10897749.sbin.1_01206	0	1	0	0	0	0	1	0	1	0	0	0	1	1	1	0	0	0	1	1	0	1	0	1	1	1	0	0	0	1	0	0	0	0
GCF_001064985.1_00725	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERR10897611.sbin.1_01085	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ERR10897622.sbin.4_00184	1	0	1	0	0	1	1	1	0	1	1	0	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	1	1	1	1	0	1	1
ERR10897622.sbin.4_00260	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ERR10897611.sbin.1_00122	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ERR10897611.sbin.1_00627	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ERR10897622.sbin.4_01832	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCF_007785975.1_00419	1	0	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1
GCF_007786065.1_01041	1	0	1	0	0	1	0	1	0	1	1	0	0	0	0	1	1	1	1	0	1	0	1	1	0	1	1	1	1	0	1	0	1	1
ERR10897611.sbin.1_00111	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
ERR10897611.sbin.1_00169	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ERR10897611.sbin.1_00313	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ERR10897611.sbin.1_00507	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ERR10897622.sbin.4_00521	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ERR10897622.sbin.4_01055	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
ERR3500848.sbin.1_01718	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCF_002863445.1_00699	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ERR10897611.sbin.1_01197	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ERR10897622.sbin.4_00008	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ERR10897622.sbin.4_00927	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ERR10897622.sbin.4_01780	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ERR10897747.mbin.1_00677	0	1	0	0	0	0	1	0	1	0	0	0	1	1	1	0	0	0	1	1	0	1	0	1	1	1	0	0	0	1	0	0	0	0
SRR13694814.sbin.11_00929	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1
SRR17635767.sbin.1_01021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0
ERR10897611.sbin.1_00935	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	0	0	1	0	1	0	0	1	1	1	1	0	1	1	1	1
ERR10897622.sbin.4_00214	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCF_007786065.1_00537	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ERR10897611.sbin.1_00564	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ERR10897611.sbin.1_00844	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ERR10897611.sbin.1_01060	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ERR10897622.sbin.4_01238	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ERR10897726.sbin.1_00546	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ERR10897611.sbin.1_00759	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ERR10897611.sbin.1_01064	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ERR10897622.sbin.4_01541	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ERR10897832.sbin.2_00396	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCF_000177415.1_00559	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MG1018.mbin.2_00796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
