gene,group
ERR10897595.sbin.1_00654,CAG_131
ERR10897587.sbin.1_00029,CAG_132
ERR10897779.mbin.3_00294,CAG_133
ERR10897587.sbin.1_01455,CAG_134
MG862.sbin.3_00492,CAG_135
GCF_021278925.1_02084,CAG_136
ERR10897979.sbin.2_00762,CAG_137
ERR10897909.sbin.1_00723,CAG_138
GCF_014654865.1_01418,CAG_139
ERR10897582.sbin.1_01225,CAG_140
ERR4421622.sbin.2_01193,CAG_141
SRR17635712.mbin.7_01059,CAG_142
SRR13900359.sbin.2_01010,CAG_143
ERR10897582.sbin.1_01147,CAG_144
ERR10897779.mbin.3_01107,CAG_145
GCF_004361635.1_01255,CAG_146
ERR10897670.sbin.3_01543,CAG_147
GCF_001541515.1_00999,CAG_148
ERR10897574.mbin.1_00831,CAG_149
GCF_008868575.1_01217,CAG_150
ERR10897583.sbin.2_00277,CAG_151
ERR10897599.sbin.5_01655,CAG_152
SRR13694824.sbin.2_00469,CAG_153
ERR10898151.sbin.2_00686,CAG_154
GCF_001541385.1_02148,CAG_155
GCF_019537355.1_01685,CAG_156
MG624.mbin.1_00230,CAG_157
ERR10897603.sbin.1_00815,CAG_158
ERR10897583.sbin.2_00461,CAG_159
ERR10898042.sbin.1_00025,CAG_160
ERR10897574.mbin.1_00842,CAG_161
ERR10897582.sbin.1_01162,CAG_162
SRR13167639.mbin.6_00035,CAG_163
ERR10898011.sbin.1_01232,CAG_164
MG1124.sbin.1_00148,CAG_165
ERR10897582.sbin.1_00500,CAG_166
ERR10897595.sbin.1_00651,CAG_167
ERR10897582.sbin.1_01148,CAG_168
ERR10897582.sbin.1_01585,CAG_169
ERR10897901.sbin.1_01122,CAG_170
ERR10897595.sbin.1_00642,CAG_171
ERR10897603.sbin.1_01482,CAG_172
SRR21425788.sbin.1_01042,CAG_173
ERR10897595.sbin.1_00233,CAG_174
GCF_001541405.1_00646,CAG_175
ERR10897582.sbin.1_00709,CAG_176
ERR10897877.sbin.1_00819,CAG_177
ERR10897595.sbin.1_00600,CAG_178
ERR10897690.sbin.1_00884,CAG_179
GCF_027152805.1_01225,CAG_180
GCF_001546015.1_02099,CAG_181
ERR10897582.sbin.1_00034,CAG_182
ERR10897572.mbin.3_00339,CAG_183
ERR10897574.mbin.1_00051,CAG_184
ERR10897779.mbin.3_00887,CAG_185
ERR10897594.sbin.1_00465,CAG_186
ERR10897795.mbin.1_00058,CAG_187
GCF_004103355.1_01494,CAG_188
ERR10897582.sbin.1_00123,CAG_189
ERR10897595.sbin.1_00659,CAG_190
GCF_001541585.1_01934,CAG_191
GCF_027160325.1_01790,CAG_192
ERR10897582.sbin.1_01948,CAG_193
ERR10898008.sbin.1_00097,CAG_194
ERR10897582.sbin.1_01811,CAG_195
ERR10897582.sbin.1_01939,CAG_196
ERR10897595.sbin.1_00658,CAG_197
SRR17284170.sbin.1_01017,CAG_198
ERR10897595.sbin.1_00234,CAG_199
GCF_015708065.1_01755,CAG_200
ERR10897595.sbin.1_00655,CAG_201
ERR10897582.sbin.1_00781,CAG_202
ERR10898042.sbin.1_00023,CAG_203
GCF_001541585.1_00255,CAG_204
ERR10897587.sbin.1_01177,CAG_205
ERR10897670.sbin.3_01544,CAG_206
GCF_008079315.1_01878,CAG_207
ERR10897582.sbin.1_01145,CAG_208
ERR10897582.sbin.1_00789,CAG_209
ERR10897583.sbin.2_00272,CAG_210
ERR10897595.sbin.1_00598,CAG_211
ERR10898042.sbin.1_00024,CAG_212
ERR10897599.sbin.5_01780,CAG_213
ERR10897583.sbin.2_00280,CAG_214
ERR10897595.sbin.1_00593,CAG_215
ERR10897595.sbin.1_00653,CAG_216
ERR10898034.sbin.1_00637,CAG_217
ERR4421622.sbin.2_00303,CAG_218
ERR10897582.sbin.1_01159,CAG_219
GCF_027153785.1_01630,CAG_220
ERR10897583.sbin.2_00738,CAG_221
GCF_008079315.1_01258,CAG_222
GCF_009730275.1_01486,CAG_223
ERR10897572.mbin.3_00032,CAG_224
ERR10897595.sbin.1_00237,CAG_225
ERR10897574.mbin.1_00830,CAG_226
ERR10897583.sbin.2_00826,CAG_227
GCF_016162065.1_00836,CAG_228
ERR10898148.sbin.1_01611,CAG_229
SAMN00083406.sbin.4_01397,CAG_230
ERR10897595.sbin.1_00649,CAG_231
GCF_004103355.1_02385,CAG_232
GCF_011029265.1_02272,CAG_233
ERR10897572.mbin.3_00907,CAG_234
ERR10897582.sbin.1_00788,CAG_235
ERR10897595.sbin.1_00225,CAG_236
ERR10897696.sbin.1_01201,CAG_237
SRR16916877.mbin.34_01118,CAG_238
ERR10897587.sbin.1_00289,CAG_239
ERR10897707.sbin.1_01012,CAG_240
ERR10897572.mbin.3_00033,CAG_241
ERR10897582.sbin.1_00974,CAG_242
MG1173.sbin.4_02110,CAG_243
ERR10897603.sbin.1_01354,CAG_244
ERR3500872.mbin.1_00529,CAG_245
ERR10897595.sbin.1_00644,CAG_246
ERR10897690.sbin.1_00883,CAG_247
ERR10898148.sbin.1_01292,CAG_248
ERR10897582.sbin.1_01220,CAG_249
ERR2244528.sbin.1_01489,CAG_250
ERR10897582.sbin.1_00580,CAG_251
ERR10897595.sbin.1_00224,CAG_252
ERR10897582.sbin.1_01070,CAG_253
ERR10897582.sbin.1_00533,CAG_254
ERR10897582.sbin.1_00767,CAG_255
ERR10897594.sbin.1_00613,CAG_256
GCF_000165885.1_01737,CAG_257
ERR10897582.sbin.1_00780,CAG_258
ERR4421563.sbin.2_00410,CAG_259
ERR10897582.sbin.1_00497,CAG_260
MG1010.mbin.3_01939,CAG_261
MG1003.sbin.1_01227,CAG_262
ERR10897582.sbin.1_01897,CAG_263
ERR2244528.sbin.1_00569,CAG_264
SRR12018868.sbin.1_01388,CAG_265
ERR10897582.sbin.1_01223,CAG_266
GCF_003795065.1_02004,CAG_267
ERR10898156.sbin.1_01302,CAG_268
SRR12018845.sbin.1_00995,CAG_269
ERR10897572.mbin.3_00039,CAG_270
ERR10897707.sbin.1_00190,CAG_271
ERR10897595.sbin.1_00236,CAG_272
ERR10897603.sbin.1_00366,CAG_273
ERR10897583.sbin.2_00273,CAG_274
GCF_019278055.1_01539,CAG_275
MG1237.mbin.3_00191,CAG_276
ERR10897582.sbin.1_01944,CAG_277
ERR10897583.sbin.2_00828,CAG_278
ERR10897595.sbin.1_00597,CAG_279
ERR10897696.sbin.1_01019,CAG_280
ERR10898151.sbin.2_00729,CAG_281
SRR12018772.sbin.1_00299,CAG_282
ERR10897583.sbin.2_00832,CAG_283
ERR10897736.sbin.1_00233,CAG_284
ERR10897587.sbin.1_01029,CAG_285
ERR10897595.sbin.1_00226,CAG_286
ERR10897595.sbin.1_00238,CAG_287
ERR10898042.sbin.1_00819,CAG_288
ERR3500835.sbin.1_00348,CAG_289
SRR6748173.sbin.1_00493,CAG_290
ERR10897664.sbin.2_00093,CAG_291
ERR10897779.mbin.3_00397,CAG_292
GCF_019278055.1_01675,CAG_293
ERR10897583.sbin.2_00269,CAG_294
ERR10897583.sbin.2_00274,CAG_295
SRR12018805.sbin.1_01615,CAG_296
ERR10897582.sbin.1_00164,CAG_297
ERR10897582.sbin.1_01217,CAG_298
GCF_003795065.1_01023,CAG_299
ERR10898069.sbin.2_01217,CAG_300
ERR10898284.sbin.1_00961,CAG_301
GCF_001546025.1_02212,CAG_302
GCF_001541535.1_01035,CAG_303
GCF_000301115.1_01129,CAG_304
MG1250.sbin.2_00250,CAG_305
ERR10897583.sbin.2_00465,CAG_306
ERR10898060.sbin.1_00738,CAG_307
MG1250.sbin.2_00246,CAG_308
ERR10897757.sbin.2_01017,CAG_309
ERR10897599.sbin.5_01819,CAG_310
MG1378.sbin.1_00114,CAG_311
ERR10898141.sbin.1_01303,CAG_312
MG1120.sbin.6_00026,CAG_313
ERR10897582.sbin.1_01910,CAG_314
ERR10897943.sbin.1_01111,CAG_315
ERR10897660.sbin.1_00937,CAG_316
MG53.mbin.4_00712,CAG_317
ERR10898274.sbin.6_01965,CAG_318
ERR10897582.sbin.1_00392,CAG_319
ERR10897603.sbin.1_01671,CAG_320
ERR10897887.sbin.1_00994,CAG_321
ERR10898033.sbin.2_00717,CAG_322
ERR10897690.sbin.1_01085,CAG_323
ERR10897582.sbin.1_01254,CAG_324
ERR10897574.mbin.1_00039,CAG_325
ERR10898219.sbin.1_01889,CAG_326
ERR10897992.sbin.1_01720,CAG_327
ERR10898286.sbin.1_00800,CAG_328
ERR10897572.mbin.3_00611,CAG_329
ERR10897583.sbin.2_00190,CAG_330
ERR10897583.sbin.2_00002,CAG_331
MG1051.mbin.2_00426,CAG_332
MG1120.sbin.6_00082,CAG_333
ERR10897583.sbin.2_01142,CAG_334
ERR10897679.sbin.1_01273,CAG_335
SRR21425829.sbin.1_00119,CAG_336
ERR10898163.sbin.1_01069,CAG_337
GCF_000162255.1_00119,CAG_338
GCF_004361475.1_02177,CAG_339
ERR10897572.mbin.3_00656,CAG_340
ERR10897595.sbin.1_01204,CAG_341
MG952.sbin.1_01412,CAG_342
ERR10897708.sbin.2_00503,CAG_343
ERR10897595.sbin.1_01214,CAG_344
ERR10897660.sbin.1_00935,CAG_345
ERR10897749.sbin.6_01522,CAG_346
ERR10897723.sbin.1_01069,CAG_347
ERR10897708.sbin.2_01753,CAG_348
ERR10897992.sbin.1_00433,CAG_349
SRR12018805.sbin.1_01636,CAG_350
SRR12018938.sbin.1_00412,CAG_351
GCF_008868575.1_00619,CAG_352
GCF_027157565.1_01087,CAG_353
ERR10897574.mbin.1_00572,CAG_354
ERR10897582.sbin.1_00823,CAG_355
ERR10897621.sbin.3_00718,CAG_356
ERR10897582.sbin.1_00394,CAG_357
ERR10897583.sbin.2_00185,CAG_358
ERR10897595.sbin.1_01209,CAG_359
ERR10897582.sbin.1_01621,CAG_360
SRR12018773.sbin.2_00770,CAG_361
SRR6747985.sbin.2_00951,CAG_362
ERR10897583.sbin.2_00393,CAG_363
ERR10898141.sbin.1_01302,CAG_364
ERR10897852.sbin.1_00027,CAG_365
SRR17635587.sbin.1_00044,CAG_366
ERR10897583.sbin.2_00874,CAG_367
SRR16471061.sbin.1_01481,CAG_368
ERR10897582.sbin.1_01586,CAG_369
ERR10898152.mbin.3_00459,CAG_370
ERR10897825.sbin.1_00097,CAG_371
GCF_001541385.1_01354,CAG_372
GCF_000466885.3_01181,CAG_373
ERR10897690.sbin.1_01079,CAG_374
ERR10897887.sbin.1_00974,CAG_375
ERR10897670.sbin.3_00657,CAG_376
ERR10897583.sbin.2_00388,CAG_377
ERR10897583.sbin.2_01029,CAG_378
ERR10898286.sbin.1_00582,CAG_379
ERR10897603.sbin.1_01655,CAG_380
SRR5575487.sbin.1_00214,CAG_381
ERR10897603.sbin.1_00743,CAG_382
SAMN00083406.sbin.4_00534,CAG_383
ERR10897887.sbin.1_00294,CAG_384
GCF_004361565.1_02358,CAG_385
GCF_000161915.2_02229,CAG_386
ERR10897572.mbin.3_00631,CAG_387
ERR10897582.sbin.1_00711,CAG_388
ERR10898175.sbin.2_01030,CAG_389
ERR10897572.mbin.3_00630,CAG_390
ERR10897583.sbin.2_00878,CAG_391
ERR10897582.sbin.1_01257,CAG_392
ERR10898244.sbin.3_00606,CAG_393
MG1210.sbin.3_01259,CAG_394
ERR10897583.sbin.2_01043,CAG_395
GCF_019537355.1_00229,CAG_396
ERR10897583.sbin.2_00912,CAG_397
ERR10897617.mbin.2_00951,CAG_398
ERR10897708.sbin.2_01701,CAG_399
SRR17284197.sbin.2_00688,CAG_400
GCF_000165885.1_01498,CAG_401
GCF_000466885.3_01159,CAG_402
ERR10897582.sbin.1_00721,CAG_403
ERR10897582.sbin.1_01261,CAG_404
ERR10897583.sbin.2_00203,CAG_405
ERR10897583.sbin.2_00390,CAG_406
ERR10897679.sbin.1_01271,CAG_407
ERR10897572.mbin.3_00500,CAG_408
GCF_027153925.1_02440,CAG_409
MG1235.sbin.9_00703,CAG_410
ERR10897583.sbin.2_00872,CAG_411
ERR10897603.sbin.1_00741,CAG_412
ERR10897690.sbin.1_01083,CAG_413
GCF_001541385.1_02152,CAG_414
ERR10897766.sbin.2_00737,CAG_415
ERR10897582.sbin.1_01909,CAG_416
SRR12018938.sbin.1_00652,CAG_417
ERR10898308.sbin.1_00434,CAG_418
ERR10897582.sbin.1_01252,CAG_419
MG990.sbin.2_00714,CAG_420
ERR10897582.sbin.1_00067,CAG_421
ERR10897583.sbin.2_01027,CAG_422
ERR10897595.sbin.1_01198,CAG_423
ERR10897723.sbin.1_01057,CAG_424
ERR10897696.sbin.1_01397,CAG_425
ERR10897583.sbin.2_01031,CAG_426
SRR12018813.sbin.2_00998,CAG_427
ERR10897583.sbin.2_00392,CAG_428
ERR10897779.mbin.3_01848,CAG_429
ERR10897587.sbin.1_01217,CAG_430
ERR10897595.sbin.1_01203,CAG_431
ERR10897679.sbin.1_01270,CAG_432
ERR10897599.sbin.5_01820,CAG_433
ERR10897583.sbin.2_00186,CAG_434
ERR10897572.mbin.3_00612,CAG_435
ERR10897749.sbin.6_00341,CAG_436
SRR12018905.sbin.1_01559,CAG_437
SAMN00081536.sbin.2_01012,CAG_438
ERR10897906.sbin.3_00149,CAG_439
ERR10897587.sbin.1_00291,CAG_440
ERR10897706.sbin.2_00155,CAG_441
ERR10897582.sbin.1_00710,CAG_442
ERR10897583.sbin.2_00181,CAG_443
GCF_015708075.1_01396,CAG_444
ERR3500845.sbin.3_01859,CAG_445
ERR10897574.mbin.1_00080,CAG_446
MG908.sbin.5_01542,CAG_447
SAMN00095163.sbin.2_01024,CAG_448
ERR10897595.sbin.1_01212,CAG_449
ERR10897582.sbin.1_01618,CAG_450
ERR10897582.sbin.1_01253,CAG_451
ERR10897723.sbin.1_00156,CAG_452
ERR10897790.sbin.1_00563,CAG_453
ERR10897583.sbin.2_00200,CAG_454
ERR10897717.sbin.2_00109,CAG_455
GCF_001541385.1_02156,CAG_456
ERR10897583.sbin.2_00207,CAG_457
ERR10897599.sbin.5_00753,CAG_458
ERR10897582.sbin.1_01251,CAG_459
ERR10897599.sbin.5_00007,CAG_460
ERR10897583.sbin.2_00182,CAG_461
ERR10897599.sbin.5_00751,CAG_462
ERR10897583.sbin.2_01033,CAG_463
SRR16471082.sbin.3_01737,CAG_464
ERR10897595.sbin.1_01206,CAG_465
ERR10897582.sbin.1_01221,CAG_466
ERR10897582.sbin.1_01263,CAG_467
GCF_003795065.1_00583,CAG_468
ERR10897595.sbin.1_01213,CAG_469
ERR10897696.sbin.1_01262,CAG_470
ERR10897670.sbin.3_00658,CAG_471
ERR10897700.mbin.1_01290,CAG_472
ERR10897603.sbin.1_01331,CAG_473
GCF_019278055.1_01512,CAG_474
ERR10897595.sbin.1_01205,CAG_475
ERR10897583.sbin.2_00179,CAG_476
ERR10897595.sbin.1_01221,CAG_477
ERR10897572.mbin.3_00501,CAG_478
ERR10897582.sbin.1_00063,CAG_479
ERR10897583.sbin.2_00884,CAG_480
ERR10897599.sbin.5_00438,CAG_481
ERR10897595.sbin.1_01051,CAG_482
ERR10897572.mbin.3_00625,CAG_483
ERR10897690.sbin.1_01078,CAG_484
MG1235.sbin.9_01589,CAG_485
ERR10897595.sbin.1_01210,CAG_486
ERR10897599.sbin.5_00439,CAG_487
ERR10898139.sbin.1_00559,CAG_488
ERR10897603.sbin.1_01613,CAG_489
ERR10897572.mbin.3_00627,CAG_490
ERR10897583.sbin.2_00873,CAG_491
ERR10897583.sbin.2_01028,CAG_492
MG1051.mbin.2_00416,CAG_493
ERR10897749.sbin.6_00409,CAG_494
ERR4421622.sbin.2_01366,CAG_495
ERR10897582.sbin.1_00158,CAG_496
ERR10897582.sbin.1_00646,CAG_497
ERR10897660.sbin.1_00938,CAG_498
ERR10897599.sbin.5_00309,CAG_499
ERR10897582.sbin.1_00161,CAG_500
GCF_027158905.1_01856,CAG_501
ERR10897723.sbin.1_01061,CAG_502
SRR12018899.sbin.1_01335,CAG_503
SRR13900341.sbin.2_01021,CAG_504
ERR10897582.sbin.1_00065,CAG_505
ERR10897583.sbin.2_00226,CAG_506
GCF_000466885.3_01151,CAG_507
MG1083.mbin.14_00074,CAG_508
GCF_003795065.1_02389,CAG_509
ERR10897583.sbin.2_00095,CAG_510
ERR10897583.sbin.2_00391,CAG_511
ERR10897583.sbin.2_00178,CAG_512
ERR10897708.sbin.2_01960,CAG_513
SRR12018868.sbin.1_00078,CAG_514
ERR10897943.sbin.1_00522,CAG_515
ERR10897582.sbin.1_01264,CAG_516
ERR10897877.sbin.1_01329,CAG_517
ERR10898114.sbin.1_01563,CAG_518
ERR10897582.sbin.1_01623,CAG_519
ERR10897621.sbin.3_00711,CAG_520
ERR10897595.sbin.1_01158,CAG_521
ERR10897582.sbin.1_00764,CAG_522
ERR10897582.sbin.1_01260,CAG_523
ERR10897582.sbin.1_01285,CAG_524
SRR16916862.sbin.4_00188,CAG_525
ERR10897708.sbin.2_01697,CAG_526
ERR10897574.mbin.1_00663,CAG_527
ERR10897583.sbin.2_00234,CAG_528
ERR10897572.mbin.3_00655,CAG_529
ERR10897583.sbin.2_00437,CAG_530
ERR10897582.sbin.1_00718,CAG_531
GCF_021278925.1_00888,CAG_532
GCF_000466885.3_01142,CAG_533
SRR17635567.sbin.1_00292,CAG_534
ERR10897582.sbin.1_00367,CAG_535
GCF_003971565.1_01392,CAG_536
ERR10897582.sbin.1_01908,CAG_537
ERR10897757.sbin.2_01028,CAG_538
GCF_001541385.1_01652,CAG_539
ERR10897574.mbin.1_00570,CAG_540
ERR10897583.sbin.2_00093,CAG_541
SRR6747985.sbin.2_00700,CAG_542
ERR10897600.sbin.1_00731,CAG_543
ERR2244528.sbin.1_00074,CAG_544
ERR10897603.sbin.1_01364,CAG_545
ERR10897583.sbin.2_00636,CAG_546
ERR10897621.sbin.3_00670,CAG_547
ERR10897599.sbin.5_00069,CAG_548
GCF_016162145.1_00722,CAG_549
ERR10897572.mbin.3_00638,CAG_550
ERR10897582.sbin.1_01312,CAG_551
GCF_000466885.3_01132,CAG_552
ERR10897582.sbin.1_00964,CAG_553
GCF_000466885.3_01150,CAG_554
MG638.sbin.2_00120,CAG_555
ERR10897583.sbin.2_00637,CAG_556
ERR10897587.sbin.1_00472,CAG_557
ERR10898049.mbin.10_01604,CAG_558
ERR10897572.mbin.3_00626,CAG_559
ERR10897582.sbin.1_00970,CAG_560
ERR10897582.sbin.1_00132,CAG_561
ERR10897582.sbin.1_00722,CAG_562
ERR10897679.sbin.1_01106,CAG_563
ERR10897757.sbin.2_01024,CAG_564
GCF_000160515.1_01770,CAG_565
MG1410.mbin.1_00904,CAG_566
ERR10897582.sbin.1_00971,CAG_567
GCF_008079315.1_00091,CAG_568
ERR10897572.mbin.3_00641,CAG_569
ERR10897582.sbin.1_00766,CAG_570
ERR10897582.sbin.1_00195,CAG_571
SRR17635600.sbin.12_01303,CAG_572
ERR10898117.sbin.2_01070,CAG_573
MG1067.sbin.2_00337,CAG_574
MG1067.sbin.2_00656,CAG_575
ERR10897690.sbin.1_01148,CAG_576
ERR10897583.sbin.2_00204,CAG_577
GCF_000176975.2_01749,CAG_578
ERR10897583.sbin.2_00621,CAG_579
SRR17635606.sbin.2_01172,CAG_580
ERR10898069.sbin.2_00665,CAG_581
GCF_001541385.1_01626,CAG_582
SRR21425819.sbin.1_00955,CAG_583
ERR10897723.sbin.1_01054,CAG_584
ERR10897887.sbin.1_01058,CAG_585
ERR10897583.sbin.2_00776,CAG_586
ERR10897582.sbin.1_00720,CAG_587
ERR10897603.sbin.1_01654,CAG_588
ERR10897572.mbin.3_00506,CAG_589
ERR10897572.mbin.3_00642,CAG_590
GCF_001541405.1_01299,CAG_591
GCF_016162065.1_01898,CAG_592
ERR10897574.mbin.1_00568,CAG_593
ERR10897583.sbin.2_00919,CAG_594
ERR10898164.sbin.1_00052,CAG_595
ERR10897587.sbin.1_00290,CAG_596
ERR10897599.sbin.5_01372,CAG_597
ERR10898183.sbin.3_01445,CAG_598
GCF_001541515.1_00956,CAG_599
ERR10897583.sbin.2_00047,CAG_600
ERR10897582.sbin.1_01222,CAG_601
ERR10897595.sbin.1_01163,CAG_602
ERR10897582.sbin.1_00160,CAG_603
ERR10898144.sbin.1_00687,CAG_604
ERR10897690.sbin.1_01406,CAG_605
MG1290.sbin.2_00341,CAG_606
ERR10897766.sbin.2_00930,CAG_607
P10709452.sbin.1_00547,CAG_608
ERR10897572.mbin.3_00645,CAG_609
ERR10897707.sbin.1_01105,CAG_610
ERR10897582.sbin.1_00064,CAG_611
ERR10897599.sbin.5_00067,CAG_612
ERR10897660.sbin.1_00939,CAG_613
ERR10897583.sbin.2_00823,CAG_614
ERR10897595.sbin.1_01058,CAG_615
SRR12018792.sbin.1_01407,CAG_616
GCF_015708075.1_02144,CAG_617
MG1210.sbin.3_01055,CAG_618
ERR10897600.sbin.1_01341,CAG_619
ERR10897707.sbin.1_00468,CAG_620
ERR10897595.sbin.1_01059,CAG_621
ERR10897582.sbin.1_00648,CAG_622
ERR10897877.sbin.1_00635,CAG_623
GCF_004361355.1_01251,CAG_624
ERR10897583.sbin.2_00129,CAG_625
MG1210.sbin.3_01058,CAG_626
MG1147.sbin.7_00241,CAG_627
MG1210.sbin.3_01057,CAG_628
MG1210.sbin.3_01056,CAG_629
MG1210.sbin.3_01052,CAG_630
ERR10897707.sbin.1_00283,CAG_631
ERR10897583.sbin.2_00223,CAG_632
ERR10897582.sbin.1_00100,CAG_633
ERR10897582.sbin.1_00105,CAG_634
ERR10897583.sbin.2_00212,CAG_635
ERR10897582.sbin.1_00103,CAG_636
ERR10897582.sbin.1_00102,CAG_637
SRR17635647.sbin.37_00742,CAG_638
ERR10898034.sbin.1_01792,CAG_639
GCF_000466885.3_02299,CAG_640
SRR11749291.sbin.2_00323,CAG_641
ERR10897599.sbin.5_01182,CAG_642
MG1210.sbin.3_01050,CAG_643
ERR10897583.sbin.2_00235,CAG_644
ERR10897582.sbin.1_01247,CAG_645
GCF_000165885.1_00140,CAG_646
GCF_000466885.3_01147,CAG_647
ERR10897723.sbin.1_00478,CAG_648
ERR10897877.sbin.1_00818,CAG_649
GCF_004361635.1_01252,CAG_650
ERR10897595.sbin.1_01056,CAG_651
ERR10897598.mbin.1_00107,CAG_652
