gene,group
SRR12018771.sbin.2_00663,CAG_653
ERR10897583.sbin.2_00044,CAG_654
MG1067.sbin.2_01344,CAG_655
ERR10898139.sbin.1_00313,CAG_656
ERR10897595.sbin.1_01054,CAG_657
ERR10897785.sbin.1_00442,CAG_658
ERR10897595.sbin.1_01057,CAG_659
GCF_019278055.1_01096,CAG_660
ERR10897779.mbin.3_00407,CAG_661
ERR10897779.mbin.3_01020,CAG_662
ERR10897599.sbin.5_01007,CAG_663
ERR10897599.sbin.5_01008,CAG_664
ERR10897603.sbin.1_00742,CAG_665
GCF_004361345.1_01023,CAG_666
ERR10897723.sbin.1_01037,CAG_667
ERR10897603.sbin.1_01350,CAG_668
ERR10897757.sbin.2_01018,CAG_669
ERR10897766.sbin.2_00735,CAG_670
ERR10897582.sbin.1_01017,CAG_671
MG1235.sbin.9_00710,CAG_672
ERR10897582.sbin.1_00069,CAG_673
ERR10897582.sbin.1_01018,CAG_674
ERR10898308.sbin.1_01529,CAG_675
MG1210.sbin.3_01054,CAG_676
ERR10897599.sbin.5_00113,CAG_677
MG1216.sbin.1_00238,CAG_678
ERR10897599.sbin.5_00114,CAG_679
MG1210.sbin.3_01049,CAG_680
MG1210.sbin.3_01051,CAG_681
ERR10897583.sbin.2_00232,CAG_682
ERR10897587.sbin.1_01644,CAG_683
ERR10897583.sbin.2_00233,CAG_684
ERR10897587.sbin.1_01623,CAG_685
ERR10897707.sbin.1_00197,CAG_686
MG1051.mbin.2_00461,CAG_687
ERR10897587.sbin.1_01625,CAG_688
ERR10897587.sbin.1_01627,CAG_689
ERR10898025.sbin.1_00888,CAG_690
ERR10897664.sbin.2_00250,CAG_691
ERR10897599.sbin.5_01712,CAG_692
ERR10897599.sbin.5_01710,CAG_693
ERR10897599.sbin.5_01711,CAG_694
ERR10897692.sbin.6_00237,CAG_695
ERR10897599.sbin.5_01713,CAG_696
ERR10897599.sbin.5_01708,CAG_697
ERR10897583.sbin.2_00619,CAG_698
ERR10897598.mbin.1_00103,CAG_699
ERR10897598.mbin.1_00104,CAG_700
ERR10897598.mbin.1_00105,CAG_701
