species_id	Dysp_0015	Dysp_0030	Dysp_0083	Dysp_0043	Dysp_0022	Dysp_0029	Dysp_0069	Dysp_0032	Dysp_0007	Dysp_0020	Dysp_0042	Dysp_0041	Dysp_0021	Dysp_0037	Dysp_0067	Dysp_0044	Dysp_0047	Dysp_0008	Dysp_0065	Dysp_0027	Dysp_0046	Dysp_0004	Dysp_0079	Dysp_0088	Dysp_0010	Dysp_0048	Dysp_0023	Dysp_0056	Dysp_0038	Dysp_0052	Dysp_0132	Dysp_0107	Dysp_0077	Dysp_0118	Dysp_0035	Dysp_0144	Dysp_0137	Dysp_0057	Dysp_0111	Dysp_0139	Dysp_0102	Dysp_0142	Dysp_0001	Dysp_0096	Dysp_0123	Dysp_0113	Dysp_0131	Dysp_0120	Dysp_0104	Dysp_0129	Dysp_0002	Dysp_0078	Dysp_0133	Dysp_0076	Dysp_0157	Dysp_0081	Dysp_0162	Dysp_0168	Dysp_0115	Dysp_0136	Dysp_0150	Dysp_0012	Dysp_0059	Dysp_0025	Dysp_0094	Dysp_0095	Dysp_0064	Neg_extr_12	Dysp_0169	Neg_extr_02	Dysp_0005	Dysp_0149	Dysp_0165	Dysp_0154	Dysp_0172	Dysp_0006	Dysp_0173	Dysp_0075	Dysp_0045	Dysp_0106	Dysp_0089	Dysp_0152	Dysp_0128	Dysp_0055	Neg_extr_09	VMG_0001	Dysp_0153	Neg_seq_03	Neg_extr_14	Dysp_0040	VMG_0004	Neg_extr_06	Neg_extr_15	Dysp_0014	Dysp_0092	Neg_seq_04	Dysp_0116	Neg_extr_11	Dysp_0036	Neg_extr_05	Dysp_0159	Neg_seq_05	VMG_0010	Dysp_0103	Neg_extr_10	Neg_seq_09	VMG_0015	VMG_0009	Neg_seq_07	Dysp_0101	Dysp_0112	Dysp_0109	Neg_seq_01	Dysp_0125	VMG_0021	Neg_seq_08	Dysp_0161	VMG_0060	Dysp_0122	VMG_0029	Dysp_0146	VMG_0005	Neg_extr_17	VMG_0012	VMG_0049	VMG_0051	VMG_0020	VMG_0011	VMG_0047	VMG_0038	VMG_0065	VMG_0030	VMG_0052	VMG_0041	Dysp_0160	VMG_0054	VMG_0014	VMG_0022	VMG_0088	VMG_0064	VMG_0073	VMG_0096	VMG_0118	VMG_0068	VMG_0018	VMG_0069	VMG_0024	VMG_0125	VMG_0101	VMG_0109	VMG_0095	VMG_0045	VMG_0105	VMG_0123	VMG_0097	Dysp_0072	VMG_0124	VMG_0127	VMG_0133	VMG_0132	VMG_0091	VMG_0131	VMG_0126	VMG_0130	VMG_0122	VMG_0055	VMG_0032	Dysp_0026	Dysp_0049	Dysp_0119	VMG_0121	VMG_0158	VMG_0156	Dysp_0143	Dysp_0003	VMG_0154	VMG_0116	Neg_extr_01	VMG_0044	VMG_0040	VMG_0089	VMG_0028	Dysp_0017	Dysp_0091	VMG_0077	Neg_seq_02	VMG_0002	VMG_0143	Dysp_0070	Neg_extr_16	Neg_extr_08	Neg_extr_07	Neg_seq_06	VMG_0172	Dysp_0130	VMG_0149	VMG_0167	Neg_extr_03	VMG_0157	VMG_0076	VMG_0084	VMG_0039	VMG_0071	VMG_0067	VMG_0048	VMG_0081	VMG_0006	VMG_0080	VMG_0107	VMG_0083	VMG_0102	VMG_0174	VMG_0138	VMG_0155	VMG_0169	VMG_0165	VMG_0056	VMG_0043	VMG_0152	VMG_0141	VMG_0151	VMG_0134	VMG_0159	VMG_0094	Neg_extr_04	VMG_0171	VMG_0013	VMG_0170	VMG_0148	VMG_0166	Dysp_0175	VMG_0114	VMG_0059	VMG_0144	VMG_0082	VMG_0046	VMG_0168	VMG_0173	VMG_0129	VMG_0112	VMG_0164	VMG_0031	VMG_0078	VMG_0146	VMG_0153	VMG_0117	VMG_0066	VMG_0104	VMG_0090	VMG_0087	VMG_0110	Dysp_0140	Dysp_0177	VMG_0103	Dysp_0163	VMG_0175	VMG_0099	Dysp_0009	VMG_0035	VMG_0150	VMG_0057	Neg_extr_13	VMG_0115	Dysp_0117	VMG_0033	Dysp_0028	VMG_0086	Dysp_0060	VMG_0070	Dysp_0090	VMG_0120	VMG_0016	Dysp_0018	Dysp_0084	VMG_0003	VMG_0061	VMG_0008	Dysp_0141	VMG_0017	VMG_0074	Dysp_0082	VMG_0026	VMG_0139	VMG_0072	VMG_0079	Dysp_0100	VMG_0034	VMG_0100	VMG_0140	VMG_0176	Dysp_0033	Dysp_0034	VMG_0163	Dysp_0058	VMG_0085	Dysp_0061	VMG_0162	Dysp_0110	VMG_0147	Dysp_0073	Dysp_0019	Dysp_0097	Dysp_0016	VMG_0142	VMG_0128	VMG_0111	Dysp_0151	Dysp_0108	VMG_0075	Dysp_0031	Dysp_0080	Dysp_0164	Dysp_0158	VMG_0027	VMG_0042	Dysp_0063	Dysp_0171	VMG_0161	Dysp_0147	Dysp_0138	VMG_0050	VMG_0135	VMG_0062	VMG_0119	Dysp_0135	VMG_0025	VMG_0019	VMG_0037	Dysp_0086	Dysp_0124	Dysp_0126	Dysp_0074	VMG_0145	Dysp_0062	Dysp_0155	VMG_0136	Dysp_0148	VMG_0023	VMG_0093	Dysp_0166	Dysp_0121	Dysp_0127	Dysp_0114	Dysp_0176	Dysp_0085	Dysp_0071	Dysp_0013	Dysp_0156	Dysp_0087	Dysp_0051	Dysp_0050	Dysp_0099	Dysp_0170	VMG_0106	VMG_0063	VMG_0137	Dysp_0053	Dysp_0174	VMG_0113	Dysp_0093	VMG_0036	VMG_0058	Dysp_0011	Dysp_0167	Dysp_0098	VMG_0092	Dysp_0145	VMG_0177	Dysp_0054	Dysp_0024	VMG_0160	VMG_0108	Dysp_0068	VMG_0098	Dysp_0134	VMG_0007	Dysp_0066	Dysp_0039	Dysp_0105
240891	134.782	2.989	0.000	0.793	0.000	0.000	39.964	0.000	6.933	0.000	62.737	0.000	6.853	121.781	111.614	0.000	39.314	0.000	0.000	0.000	5.584	0.000	2.655	0.993	85.133	9.760	4.419	0.000	0.000	42.770	103.880	134.113	0.000	9.583	5.867	205.059	0.000	0.000	60.054	1.177	0.000	0.000	211.714	2.548	0.000	1.475	0.000	0.000	0.000	81.400	305.745	78.528	24.059	40.603	162.169	117.791	19.116	0.000	7.240	0.000	113.333	16.965	0.000	0.000	346.529	0.000	1.127	0.000	144.731	0.000	0.000	0.000	21.218	64.890	50.968	0.000	0.000	0.000	0.000	0.000	17.605	0.000	0.000	8.403	0.000	0.000	178.700	0.000	0.000	43.308	4.492	0.000	0.000	0.000	52.810	0.000	0.000	0.000	0.000	0.000	38.489	0.000	14.283	104.894	0.000	0.000	26.299	0.000	0.000	163.391	4.610	0.000	0.000	79.377	0.000	0.000	85.400	125.109	195.235	0.000	73.579	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.509	0.000	0.000	0.000	282.293	0.000	0.000	60.189	68.072	0.000	0.209	0.000	0.000	4.248	187.210	11.340	0.000	186.220	0.000	40.801	0.000	0.000	0.000	40.482	0.764	280.092	86.154	0.000	0.000	173.763	259.050	0.000	0.577	0.000	0.000	0.000	0.000	45.650	0.000	0.000	9.610	0.661	0.000	0.000	0.000	166.632	11.409	82.944	0.000	0.000	0.000	44.893	12.539	0.000	0.355	231.975	0.000	0.000	0.000	26.913	29.807	0.000	0.000	0.000	0.000	0.000	44.093	9.039	0.000	0.000	0.000	0.000	0.000	1.047	135.088	0.000	0.000	30.688	0.000	58.038	35.754	0.000	0.000	0.000	0.000	0.000	83.299	0.000	99.785	0.000	2.081	58.395	0.000	0.000	205.921	0.000	0.000	114.641	19.828	0.000	0.000	17.146	61.805	0.000	0.000	0.383	0.217	0.764	0.000	0.000	39.418	122.479	18.038	98.667	0.000	23.125	108.426	0.000	0.000	0.000	0.000	0.000	0.000	86.445	86.708	59.230	0.000	9.938	0.000	1.987	226.541	52.567	3.599	0.000	0.319	13.414	1.157	0.000	0.000	68.450	0.000	0.000	267.567	10.250	1.662	108.633	6.720	0.000	11.224	0.000	0.000	0.000	23.644	0.636	0.000	0.000	1.994	45.249	191.162	350.795	117.515	0.000	0.000	56.177	0.000	50.218	117.270	2.127	1.790	32.905	59.120	25.098	3.559	0.000	0.000	0.648	62.118	0.000	16.335	13.703	0.000	40.220	0.000	6.707	111.077	11.153	0.000	0.000	22.096	0.866	0.000	6.090	0.000	5.258	153.699	25.305	2.066	0.000	1.290	29.861	1.443	0.000	0.781	10.425	24.201	0.000	28.980	119.866	24.780	11.446	4.045	0.000	28.624	1.752	10.762	0.000	2.052	0.529	20.061	35.765	16.673	0.000	0.000	0.000	84.337	123.878	0.000	75.479	0.632	60.404	0.843	291.794	0.000	15.918	0.353	146.046	0.000	69.155	35.950	0.000	2.530	0.497	37.536	0.000	367.641	0.000	293.305	0.000	0.000	43.221	0.000
571325	12.858	0.000	0.000	0.000	0.000	0.000	0.000	0.000	7.588	2.790	0.000	0.000	0.000	0.000	0.000	0.000	1.945	0.000	2.443	0.000	0.000	0.000	0.000	2.116	0.000	0.000	0.546	0.000	0.000	14.812	0.000	0.000	51.046	19.532	0.000	0.390	0.000	0.000	2.225	0.000	0.000	5.512	0.000	20.733	0.000	0.000	0.000	0.000	0.000	18.453	0.000	0.000	0.000	0.000	0.000	0.000	39.952	0.000	0.697	3.007	19.717	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	82.586	107.673	0.000	0.000	0.000	0.560	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.908	0.000	0.000	0.000	0.000	2.242	0.000	0.000	3.524	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.494	8.588	0.000	0.000	0.000	1.309	2.625	0.000	7.761	0.000	1.230	0.000	59.022	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12.058	0.000	0.000	16.132	0.000	0.000	0.000	0.000	0.000	0.000	1.854	0.000	0.000	0.000	8.231	0.000	0.000	0.000	12.965	0.000	0.269	0.000	0.000	0.000	0.000	23.600	32.285	0.000	0.000	0.000	3.427	0.000	0.000	0.000	0.000	0.000	4.017	0.000	0.000	0.000	18.325	0.000	0.715	0.000	0.000	0.000	0.000	21.892	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.425	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.382	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.873	0.000	4.556	6.302	0.000	119.703	0.000	0.000	0.000	5.397	0.000	0.000	0.000	0.000	0.000	2.854	0.336	5.371	0.000	0.000	0.000	83.342	0.000	0.000	1.614	0.000	0.000	0.000	0.000	0.000	38.565	0.000	0.000	0.000	0.000	0.000	4.084	0.000	0.000	0.000	0.000	0.000	0.656	0.000	0.000	0.000	0.000	0.000	2.159	0.000	14.429	0.000	37.527	0.000	0.000	12.552	0.000	0.000	0.000	0.000	10.287	0.000	0.000	0.000	68.807	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	39.080	0.000	0.000	0.000	0.000	8.719	0.000	0.000	0.000	0.000	0.663	0.000	0.000	0.000	61.375	0.000	51.333	0.000	0.000	0.000	0.000	0.000	0.000	0.000	24.329	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	5.518	130.818	0.000	2.360	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.075	0.000	0.000	0.000	0.000	0.000
783244	0.000	0.000	61.132	30.263	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	45.849	0.000	0.000	0.000	0.000	0.000	0.000	11.358	0.000	21.988	0.000	0.000	0.000	0.000	0.000	0.000	170.605	0.000	0.583	12.274	0.000	0.000	16.736	3.083	3.182	22.468	0.000	0.000	109.850	0.000	0.000	0.285	0.000	0.868	0.000	0.000	8.597	0.000	0.000	0.000	0.000	34.908	0.000	0.000	89.434	0.000	0.157	0.000	1.336	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	36.383	0.000	34.459	0.000	0.000	0.000	37.795	0.000	0.307	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.031	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.201	0.000	0.000	0.000	0.000	0.000	0.510	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	108.366	0.000	0.000	0.000	103.467	0.000	0.000	0.000	162.633	0.000	0.000	0.000	1.326	0.000	0.000	0.000	0.000	0.000	0.000	25.193	0.000	0.000	0.000	0.000	7.744	0.000	0.000	0.000	0.000	0.000	0.000	106.298	36.541	11.102	0.000	0.000	118.228	0.000	0.000	0.000	0.000	0.000	379.682	17.541	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	42.249	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	56.442	0.310	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.190	0.000	0.000	0.000	0.812	138.865	0.415	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	582.198	0.000	135.698	0.000	0.000	0.000	0.000	150.988	0.000	0.000	0.000	0.000	0.000	15.746	0.000	0.000	0.000	1.548	0.000	9.521	0.000	0.000	0.000	0.000	0.000	0.369	0.000	0.000	1.716	0.000	0.000	2.192	4.656	0.000	32.076	0.000	0.000	0.000	0.000	0.000	2.022	0.000	0.000	0.000	2.600	0.781	25.326	0.000	3.051	0.000	0.000	0.000	0.000	0.000	141.720	0.000	0.000	0.000	0.000	217.735	41.779	0.000	99.332	0.667	0.000	0.329	55.840	0.000	111.211	0.000	176.122	0.000	158.827	0.400	13.325	37.248	0.663	2.953	0.000	0.000	0.772	0.000	0.000	257.567	0.000	513.242	0.000	0.000	0.445	269.637	0.000	0.000	2.750	494.897	0.000	281.613	20.678	0.000	0.000	695.201	16.751	131.387	0.000	745.792	1101.125	412.443	313.676	38.494	232.660	232.333	654.550	676.038	911.056	39.800	61.945	25.127	550.487	302.604	180.627	83.942	2175.531	53.527	1855.121	0.000	132.376	621.741	1114.539	142.200	50.377	50.515	90.976	0.000	179.251	330.682	1332.273	0.000	0.000	0.000	0.484	30.823	32.859	141.308	50.820	162.950	3.876	14.046	60.668	37.329	1222.322	0.000	0.000	75.301	0.000	143.089	2.969	1.569
988598	0.000	0.000	167.110	0.000	129.411	0.000	0.000	0.000	0.208	52.802	0.000	0.000	0.000	0.000	0.000	97.791	0.000	0.000	278.420	0.000	0.000	0.000	132.175	139.225	0.000	0.576	165.450	0.000	0.000	35.143	156.138	0.000	0.000	230.408	0.000	0.000	0.000	0.000	4.299	152.260	0.000	379.715	114.126	408.343	99.763	71.583	0.000	0.000	0.000	0.670	0.000	16.983	19.254	0.000	0.000	0.000	373.584	130.963	0.000	295.145	0.000	0.000	13.213	0.000	0.000	0.000	190.649	0.000	0.000	0.000	301.255	206.238	0.000	0.000	0.000	0.000	0.000	186.153	0.000	123.571	326.994	0.000	0.000	0.000	0.000	35.378	0.000	0.328	0.000	0.000	0.000	0.000	0.000	68.543	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12.217	181.124	0.333	0.000	172.732	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	386.128	0.000	393.525	0.000	0.000	551.084	237.582	164.130	72.184	346.776	0.000	57.430	230.041	0.000	0.000	0.000	0.000	0.000	1.192	282.759	231.413	59.413	302.797	0.000	497.821	37.614	0.000	0.000	0.000	0.000	46.987	167.936	64.907	3.793	0.000	0.000	0.000	44.918	0.000	15.456	74.932	0.000	0.000	0.000	0.444	0.000	4.923	54.932	0.000	0.000	153.246	419.946	0.000	0.000	0.000	0.000	0.000	70.306	0.000	58.441	0.000	0.000	0.000	73.488	0.000	74.946	0.714	0.000	7.992	94.651	0.000	0.000	0.000	0.000	0.000	3.095	198.366	111.477	0.000	49.197	136.039	0.000	95.659	0.000	0.000	0.000	0.000	0.000	9.631	0.000	0.000	172.183	0.000	0.168	0.000	107.027	0.000	119.240	6.444	0.568	0.000	240.061	0.000	0.000	0.000	0.000	0.000	19.242	0.000	111.164	8.761	0.000	129.986	110.918	534.453	101.814	38.801	0.000	271.717	0.000	0.000	456.956	0.000	0.000	0.000	29.817	131.022	0.000	0.000	0.000	679.464	0.419	0.000	99.045	30.944	0.528	66.047	0.000	0.000	38.073	107.656	0.340	0.000	248.207	0.000	0.000	127.508	0.000	19.064	0.000	0.000	0.000	93.045	403.192	0.000	285.288	218.122	23.737	0.000	607.183	115.013	32.560	306.222	0.000	0.000	175.027	0.000	77.341	0.000	0.000	0.000	113.998	0.000	656.671	0.000	66.869	0.000	264.702	87.008	19.177	0.000	0.000	233.331	369.453	533.457	222.951	373.044	0.000	396.893	75.120	0.000	747.899	298.757	0.000	717.030	271.828	0.000	0.000	654.967	0.000	0.000	864.166	647.877	0.000	0.000	0.000	204.251	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.057	0.000	0.000	0.775	0.000	0.000	0.434	16.892	0.000	0.000	0.000	0.000	0.000	14.459	0.000	0.000	0.000	525.302	38.031	271.905	0.000	0.000	0.266	0.000	1.487	0.000	0.000	0.000	0.000	0.000	0.000	0.000	757.390	0.000	486.885	0.000	0.000	304.951
611554	0.000	0.000	8.600	0.000	0.667	0.000	0.000	4.415	11.497	15.851	0.000	6.199	0.000	0.000	0.000	0.000	0.000	77.517	0.000	0.000	0.000	41.199	0.000	0.000	0.000	0.000	0.000	170.651	0.000	0.223	0.000	0.000	0.849	1.767	0.000	0.000	0.000	0.000	0.000	2.741	0.000	0.000	0.000	0.000	2.773	0.000	0.000	5.210	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.536	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	118.202	0.000	0.000	0.000	3.189	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.331	0.000	0.000	0.000	40.079	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	6.004	0.000	0.000	0.000	1.303	0.000	0.000	0.000	0.000	0.000	0.000	13.484	0.000	43.106	0.000	0.000	0.000	152.992	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.264	0.000	0.000	0.000	0.000	1.089	0.000	0.000	0.000	0.000	0.000	0.000	0.000	171.128	0.000	0.000	0.317	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.703	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.323	0.377	0.000	0.000	0.000	0.000	0.000	0.428	0.000	0.000	27.723	4.748	11.509	2.780	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.466	0.000	0.000	0.000	0.000	0.000	0.000	15.908	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	42.720	0.000	0.000	0.000	0.536	0.000	0.000	0.518	25.157	0.000	0.000	0.000	0.000	0.000	3.528	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.212	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.950	7.555	3.362	0.000	0.000	0.328	0.000	0.556	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	7.525	0.000	0.000	8.208	0.000	0.000	0.777	0.000	0.000	14.752	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.752	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.993	0.000	0.000	0.000	0.000	185.351	0.198	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
619501	0.000	0.000	0.000	22.063	0.899	0.000	0.000	4.261	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.039	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	23.602	0.000	0.000	3.146	0.000	0.000	0.000	0.000	0.199	17.178	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.128	13.969	0.000	0.000	0.000	0.000	0.000	0.000	92.273	0.000	0.000	20.415	0.000	0.000	0.000	0.438	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.640	0.000	0.154	0.000	0.000	0.000	5.445	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13.317	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	8.430	1.207	0.000	0.000	65.484	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	17.840	0.000	0.000	0.000	0.930	0.000	0.000	0.000	32.042	0.314	99.658	0.000	0.000	0.000	33.731	0.000	0.000	0.000	33.771	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	183.942	0.000	0.000	0.000	0.000	0.000	0.000	0.383	0.000	8.195	0.000	5.842	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	16.513	0.000	0.000	0.000	0.000	12.082	0.000	0.000	0.000	0.000	0.000	0.662	0.000	0.000	0.000	0.000	0.000	24.271	0.000	0.000	0.000	0.000	0.000	3.342	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.179	0.000	0.000	0.000	0.000	0.000	0.000	7.267	0.000	0.000	0.000	0.151	0.000	0.000	10.352	0.000	0.000	0.000	0.000	0.000	216.137	0.000	0.000	0.000	0.000	0.000	2.210	0.000	22.329	0.377	0.000	0.000	22.357	0.000	4.366	0.000	30.065	0.000	52.325	0.239	0.000	14.545	0.000	84.928	0.000	0.000	0.000	0.000	0.000	1.349	0.000	0.000	167.353	0.000	0.000	0.000	0.000	0.000	29.583	23.836	0.000	519.164	90.012	0.000	0.000	207.823	299.549	63.753	0.000	240.640	302.936	47.877	250.429	310.757	282.730	73.342	143.552	224.328	350.102	270.356	138.376	286.250	149.630	99.504	228.514	16.810	268.535	141.102	227.779	0.000	393.000	150.251	208.680	72.539	157.074	231.448	366.075	38.007	151.592	280.522	128.538	0.000	0.000	0.000	147.231	177.695	67.860	0.000	35.870	321.921	42.355	208.774	78.074	140.126	244.018	0.000	0.000	0.000	0.000	234.744	8.354	0.896
