species
100505
147723
147053
146014
145795
144594
143170
142489
141632
140985
140399
139945
139389
139218
138366
138050
137430
136462
136052
135435
135041
134763
134675
133369
132922
132856
131178
130725
130618
130022
129729
129443
129348
127885
127299
127266
126123
125435
124449
122820
121860
121334
119719
119649
119552
119108
118753
118620
117108
116645
116510
116436
116386
116235
116165
115560
115546
115188
114891
114873
114276
113297
113275
113019
112777
112609
112379
112096
111310
111309
111299
110900
110831
110718
110159
110120
109869
109820
109488
109305
109204
108742
108701
108608
108607
108477
108390
108299
108207
108200
108177
108095
108092
107946
107627
107546
107533
107248
107186
107163
106927
106751
106247
106148
106018
105963
105820
105803
105792
105705
105507
105468
105401
105389
105378
105331
104979
104589
104410
104059
103927
103895
103792
103663
103473
103327
103182
102913
102759
102653
102525
102291
102218
102147
102144
101917
101450
101425
101276
101274
101035
100881
100791
100764
100672
100592
100571
100533
100515
100460
100456
100447
100418
100378
100350
100323
100291
100250
100248
100199
100145
100137
100131
100122
100108
100085
100053
100051
100032
100024
100020
100009
