species_id	Neg_extr_12	Neg_extr_02	Dysp_0041	Dysp_0032	Dysp_0046	Dysp_0030	Dysp_0048	Dysp_0027	Dysp_0131	Dysp_0047	Dysp_0007	Dysp_0045	Dysp_0021	Dysp_0069	Dysp_0042	Dysp_0010	Dysp_0120	Dysp_0137	Dysp_0012	Dysp_0008	Dysp_0077	Dysp_0025	Neg_extr_01	Dysp_0015	Dysp_0037	Dysp_0067	Dysp_0052	Dysp_0026	Dysp_0111	Dysp_0133	Dysp_0035	Dysp_0103	Dysp_0081	Dysp_0116	Dysp_0022	Dysp_0113	Dysp_0172	Dysp_0088	Dysp_0044	Dysp_0003	Dysp_0020	Dysp_0014	Dysp_0038	Dysp_0079	Dysp_0056	Dysp_0078	Dysp_0107	Dysp_0165	Dysp_0043	Dysp_0150	Dysp_0002	Dysp_0106	Dysp_0123	Dysp_0144	Dysp_0102	Dysp_0083	Dysp_0075	Dysp_0004	Dysp_0168	Dysp_0023	Dysp_0119	Dysp_0152	Dysp_0065	Dysp_0139	Dysp_0094	Dysp_0001	Dysp_0118	Dysp_0128	Dysp_0149	Dysp_0129	Dysp_0122	Dysp_0169	Dysp_0059	Dysp_0157	Dysp_0143	Dysp_0029	Dysp_0142	Dysp_0057	Dysp_0064	Dysp_0096	Dysp_0154	Dysp_0076	Dysp_0136	Dysp_0089	Dysp_0005	Dysp_0162	Dysp_0132	Dysp_0115	Dysp_0104	Dysp_0095	Dysp_0006	Dysp_0173	Neg_extr_17	Dysp_0091	Neg_extr_10	Neg_seq_01	Neg_extr_09	Dysp_0055	Dysp_0160	Dysp_0125	VMG_0001	VMG_0004	Neg_extr_06	Neg_extr_14	Neg_seq_03	Neg_extr_15	Neg_extr_11	Neg_seq_04	Neg_seq_02	Neg_extr_08	Neg_extr_07	Neg_extr_05	Neg_seq_06	Neg_seq_07	Neg_seq_05	Neg_seq_08	Neg_seq_09	Neg_extr_03	Dysp_0159	Dysp_0049	Dysp_0040	VMG_0010	VMG_0015	Dysp_0092	Dysp_0161	Dysp_0146	Dysp_0036	Dysp_0101	VMG_0014	VMG_0060	VMG_0018	VMG_0012	VMG_0002	VMG_0024	Dysp_0017	Dysp_0153	Dysp_0070	VMG_0009	VMG_0051	VMG_0056	Dysp_0112	Dysp_0130	VMG_0049	Dysp_0109	VMG_0029	VMG_0005	VMG_0020	Dysp_0072	Neg_extr_13	Neg_extr_04	Neg_extr_16	VMG_0021	VMG_0105	VMG_0122	VMG_0174	VMG_0125	VMG_0107	VMG_0126	VMG_0131	VMG_0097	VMG_0032	VMG_0066	VMG_0054	VMG_0080	VMG_0008	VMG_0073	VMG_0069	VMG_0045	VMG_0109	VMG_0013	VMG_0143	VMG_0065	VMG_0116	VMG_0132	VMG_0175	VMG_0041	VMG_0011	VMG_0124	VMG_0091	VMG_0028	VMG_0127	VMG_0038	VMG_0031	VMG_0101	Dysp_0175	VMG_0077	VMG_0055	VMG_0118	VMG_0095	VMG_0064	VMG_0022	VMG_0133	VMG_0130	VMG_0123	VMG_0156	VMG_0052	VMG_0096	VMG_0030	VMG_0088	VMG_0158	VMG_0121	VMG_0089	VMG_0084	VMG_0043	VMG_0040	VMG_0046	VMG_0154	VMG_0146	VMG_0172	VMG_0157	VMG_0071	VMG_0112	VMG_0033	VMG_0082	VMG_0076	VMG_0044	VMG_0068	VMG_0047	VMG_0167	VMG_0149	VMG_0006	VMG_0114	VMG_0086	VMG_0067	VMG_0057	VMG_0070	VMG_0152	VMG_0083	VMG_0081	VMG_0166	VMG_0141	VMG_0165	Dysp_0090	VMG_0110	VMG_0170	VMG_0168	VMG_0072	VMG_0138	VMG_0134	Dysp_0084	VMG_0059	VMG_0129	VMG_0102	VMG_0150	VMG_0104	VMG_0140	Dysp_0028	VMG_0169	VMG_0148	VMG_0103	VMG_0035	VMG_0115	VMG_0159	VMG_0151	VMG_0120	Dysp_0117	VMG_0155	VMG_0048	VMG_0117	VMG_0139	VMG_0173	VMG_0078	VMG_0144	Dysp_0009	VMG_0094	VMG_0164	VMG_0171	VMG_0016	VMG_0153	Dysp_0163	Dysp_0134	VMG_0003	VMG_0090	VMG_0039	Dysp_0018	VMG_0087	VMG_0099	Dysp_0140	Dysp_0060	Dysp_0073	Dysp_0082	Dysp_0033	Dysp_0177	Dysp_0141	VMG_0074	VMG_0085	Dysp_0110	VMG_0100	VMG_0026	VMG_0034	VMG_0128	VMG_0162	Dysp_0058	VMG_0017	VMG_0061	VMG_0147	VMG_0025	VMG_0036	Dysp_0100	Dysp_0016	Dysp_0093	Dysp_0061	VMG_0113	VMG_0075	VMG_0111	VMG_0042	VMG_0079	Dysp_0019	Dysp_0105	Dysp_0034	VMG_0176	VMG_0142	VMG_0163	Dysp_0097	Dysp_0108	Dysp_0151	VMG_0007	Dysp_0098	Dysp_0164	Dysp_0158	Dysp_0114	Dysp_0170	VMG_0058	Dysp_0031	Dysp_0080	Dysp_0167	VMG_0092	VMG_0027	Dysp_0171	VMG_0135	VMG_0063	Dysp_0138	VMG_0161	VMG_0119	Dysp_0147	VMG_0177	Dysp_0063	Dysp_0086	VMG_0137	VMG_0098	Dysp_0024	Dysp_0062	Dysp_0126	Dysp_0135	VMG_0062	Dysp_0011	VMG_0019	VMG_0050	Dysp_0068	VMG_0145	Dysp_0174	VMG_0093	Dysp_0145	Dysp_0124	Dysp_0066	Dysp_0074	VMG_0037	VMG_0108	Dysp_0121	Dysp_0148	Dysp_0054	Dysp_0166	VMG_0023	VMG_0160	Dysp_0127	Dysp_0013	Dysp_0071	Dysp_0156	Dysp_0087	Dysp_0051	VMG_0106	VMG_0136	Dysp_0050	Dysp_0099	Dysp_0039	Dysp_0053	Dysp_0176	Dysp_0085	Dysp_0155
611554	0.000	0.000	6.199	4.415	0.000	0.000	0.000	0.000	0.000	0.000	11.497	0.000	0.000	0.000	0.000	0.000	5.210	0.000	0.000	77.517	0.849	0.000	0.000	0.000	0.000	0.000	0.223	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.667	0.000	0.000	0.000	0.000	0.000	15.851	0.000	0.000	0.000	170.651	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.773	0.000	0.000	8.600	0.000	41.199	0.000	0.000	0.000	118.202	0.000	2.741	0.000	0.000	1.767	0.000	0.000	0.000	0.000	0.000	0.536	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.189	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.703	152.992	0.000	0.000	0.000	1.331	0.000	0.000	0.000	0.323	0.000	40.079	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.089	0.000	0.000	0.000	0.000	0.000	0.000	0.000	42.720	0.000	2.780	0.000	13.484	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.264	0.000	1.303	0.000	0.000	0.000	0.000	0.000	6.004	0.000	0.000	0.000	0.000	0.000	43.106	0.000	0.000	0.000	0.000	0.000	0.000	171.128	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.317	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.377	11.509	0.000	0.000	0.000	3.528	0.000	0.000	0.000	4.748	0.000	0.000	1.466	0.212	0.536	0.000	0.000	3.362	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.556	0.000	0.000	0.000	0.518	0.000	0.000	15.908	0.000	0.000	0.000	0.000	27.723	0.000	7.555	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	25.157	0.000	0.000	0.000	0.428	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.950	0.328	0.777	0.000	0.000	0.000	0.000	7.525	0.000	0.000	0.000	0.000	0.993	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	8.208	14.752	0.000	0.000	185.351	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.198	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.752	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
783244	0.000	0.000	0.000	0.000	0.000	0.000	0.000	11.358	0.000	0.000	0.000	0.000	45.849	0.000	0.000	0.000	0.000	3.182	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	16.736	0.000	0.000	0.000	0.000	0.868	0.000	0.000	0.000	0.000	0.000	0.000	170.605	0.000	0.000	0.000	12.274	0.000	30.263	1.336	0.000	0.000	0.000	3.083	109.850	61.132	34.459	21.988	0.000	0.000	0.000	37.795	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	22.468	0.000	0.285	0.000	34.908	0.000	0.000	0.000	89.434	0.583	0.157	8.597	0.000	36.383	0.000	0.000	0.000	0.000	0.000	0.000	0.307	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.031	0.000	0.000	0.000	0.510	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	42.249	0.000	0.000	0.000	0.000	0.000	0.000	0.310	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.201	0.000	0.000	0.812	0.000	0.000	11.102	36.541	0.000	0.000	0.000	0.000	0.190	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.656	103.467	0.000	0.000	106.298	0.000	0.000	108.366	0.000	25.193	150.988	0.000	118.228	0.000	0.000	0.000	162.633	0.000	0.000	7.744	17.541	0.000	1.326	0.000	0.000	379.682	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	56.442	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.781	0.000	0.000	0.000	0.000	0.000	0.000	25.326	0.000	0.000	15.746	41.779	138.865	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.329	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.022	0.415	0.000	0.000	217.735	0.000	9.521	0.000	32.076	582.198	1.548	135.698	3.051	0.000	2.192	75.301	0.000	0.369	0.000	0.000	0.000	0.000	1.716	2.600	0.663	0.000	0.000	0.000	141.720	0.000	0.000	13.325	0.000	0.000	0.667	0.000	0.400	176.122	0.000	0.000	37.248	0.000	0.000	99.332	0.000	0.000	158.827	0.000	513.242	0.000	0.000	0.000	2.953	1.569	111.211	55.840	0.772	0.000	0.000	0.000	257.567	0.000	141.308	0.445	269.637	83.942	50.515	0.484	0.000	0.000	32.859	50.820	0.000	494.897	0.000	0.000	20.678	0.000	16.751	281.613	3.876	2.750	412.443	179.251	0.000	60.668	654.550	38.494	131.387	695.201	30.823	745.792	0.000	0.000	232.333	1332.273	25.127	162.950	313.676	143.089	232.660	1101.125	1222.322	302.604	39.800	14.046	550.487	61.945	37.329	180.627	0.000	1855.121	132.376	621.741	1114.539	90.976	911.056	142.200	50.377	2.969	330.682	2175.531	53.527	676.038
619501	0.000	0.000	0.000	4.261	0.000	0.000	0.000	1.039	13.969	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.199	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	33.731	0.000	0.000	0.000	0.000	0.000	0.000	0.899	1.128	0.000	0.000	0.000	0.000	0.000	0.000	23.602	0.000	0.000	0.000	3.146	0.000	22.063	0.438	0.000	0.000	0.000	0.000	0.000	0.000	0.154	0.000	0.000	0.000	0.000	5.445	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	17.178	0.000	0.000	0.000	92.273	0.000	0.000	0.000	20.415	0.000	0.000	0.000	0.000	0.640	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.207	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13.317	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.383	0.000	0.000	0.314	32.042	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	8.430	0.000	0.000	0.000	0.000	0.930	0.000	0.000	0.000	12.082	0.000	0.000	0.000	0.000	0.000	65.484	0.000	99.658	17.840	0.000	0.000	0.000	0.000	0.000	33.771	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	7.267	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.151	0.000	0.000	0.000	0.000	0.000	5.842	0.000	0.000	0.000	0.662	2.210	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	8.195	183.942	0.000	0.000	0.000	24.271	0.000	2.179	0.000	0.000	16.513	10.352	0.000	0.000	0.000	0.000	3.342	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	216.137	0.000	0.000	0.000	0.000	0.000	0.377	0.000	0.239	30.065	0.000	0.000	14.545	0.000	0.000	22.329	0.000	0.000	52.325	0.000	0.000	0.000	0.000	0.000	84.928	0.896	4.366	22.357	0.000	0.000	0.000	0.000	1.349	0.000	0.000	0.000	0.000	16.810	231.448	147.231	167.353	0.000	67.860	35.870	0.000	23.836	0.000	38.007	90.012	0.000	299.549	519.164	42.355	29.583	47.877	151.592	0.000	78.074	143.552	310.757	63.753	207.823	177.695	240.640	0.000	0.000	73.342	128.538	286.250	321.921	250.429	234.744	282.730	302.936	244.018	99.504	270.356	208.774	149.630	138.376	140.126	228.514	0.000	227.779	393.000	150.251	208.680	366.075	350.102	72.539	157.074	8.354	280.522	268.535	141.102	224.328
240891	0.000	0.000	0.000	0.000	5.584	2.989	9.760	0.000	0.000	39.314	6.933	0.000	6.853	39.964	62.737	85.133	0.000	0.000	16.965	0.000	0.000	0.000	0.000	134.782	121.781	111.614	42.770	0.000	60.054	24.059	5.867	104.894	117.791	0.000	0.000	1.475	50.968	0.993	0.000	11.409	0.000	0.000	0.000	2.655	0.000	78.528	134.113	21.218	0.793	113.333	305.745	0.000	0.000	205.059	0.000	0.000	0.000	0.000	0.000	4.419	0.661	0.000	0.000	1.177	346.529	211.714	9.583	0.000	0.000	81.400	195.235	144.731	0.000	162.169	166.632	0.000	0.000	0.000	1.127	2.548	64.890	40.603	0.000	17.605	0.000	19.116	103.880	7.240	0.000	0.000	0.000	0.000	0.000	231.975	0.000	0.000	0.000	8.403	0.000	79.377	0.000	4.492	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	38.489	9.610	43.308	14.283	26.299	52.810	85.400	73.579	0.000	163.391	68.072	125.109	0.000	0.000	0.000	0.000	0.355	178.700	29.807	0.000	0.000	99.785	4.610	44.093	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.764	0.000	0.000	40.801	35.754	0.000	0.000	86.154	0.000	0.000	60.189	58.038	11.224	0.000	186.220	40.482	0.000	19.828	26.913	0.000	0.000	0.000	9.938	0.000	0.000	0.000	0.577	0.000	173.763	0.000	98.667	0.000	61.805	0.000	45.650	187.210	0.000	0.000	0.000	259.050	0.000	280.092	0.000	282.293	4.248	0.000	0.209	0.000	0.000	12.539	0.000	0.000	44.893	0.764	82.944	23.125	0.000	0.000	135.088	122.479	1.157	0.217	0.000	0.000	11.340	0.509	0.000	9.039	0.000	0.000	0.000	0.000	3.599	0.000	2.081	0.000	30.688	17.146	58.395	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	108.633	0.000	39.418	0.000	52.567	0.000	117.515	0.000	83.299	0.000	59.230	226.541	0.319	205.921	0.000	267.567	13.414	0.000	0.000	0.000	0.000	0.000	0.000	0.383	1.987	0.000	18.038	114.641	10.250	108.426	0.000	293.305	6.720	0.000	1.047	1.662	0.000	0.000	86.445	68.450	25.098	23.644	0.000	86.708	0.000	0.000	117.270	32.905	350.795	0.636	191.162	62.118	1.790	50.218	0.000	0.000	59.120	0.000	0.000	45.249	0.000	291.794	2.127	0.843	0.000	0.000	0.000	1.994	3.559	0.000	56.177	0.000	0.648	0.000	0.000	13.703	16.335	0.000	0.000	6.707	111.077	10.762	84.337	15.918	40.220	0.000	146.046	69.155	11.153	22.096	5.258	0.000	6.090	0.866	25.305	0.000	0.000	0.000	1.443	75.479	0.000	0.497	0.000	0.781	2.066	153.699	0.353	1.290	0.000	367.641	24.201	60.404	4.045	35.950	0.000	0.000	10.425	29.861	0.000	28.624	24.780	2.530	0.000	11.446	37.536	1.752	20.061	0.529	35.765	16.673	0.000	123.878	119.866	0.000	0.000	43.221	0.632	0.000	2.052	28.980
988598	0.000	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.000	0.000	0.208	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	35.143	0.000	4.299	19.254	0.000	0.000	0.000	0.000	129.411	71.583	0.000	139.225	97.791	0.000	52.802	68.543	0.000	132.175	0.000	16.983	0.000	0.000	0.000	0.000	0.000	123.571	99.763	0.000	0.000	167.110	186.153	0.000	130.963	165.450	153.246	0.000	278.420	152.260	0.000	114.126	230.408	0.000	206.238	0.670	0.000	0.000	13.213	0.000	0.000	0.000	379.715	0.000	190.649	408.343	0.000	0.000	295.145	326.994	301.255	373.584	156.138	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	35.378	0.000	0.000	0.000	0.328	0.000	0.000	0.000	0.714	0.000	0.000	0.000	0.000	0.333	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12.217	0.000	0.000	0.000	0.000	0.000	0.000	0.000	37.614	0.000	0.000	0.000	73.488	0.000	94.651	181.124	237.582	119.240	172.732	3.095	551.084	0.000	386.128	393.525	164.130	0.000	0.000	0.000	0.000	0.000	3.793	0.000	0.000	0.000	0.000	0.000	0.000	0.000	54.932	0.000	0.000	9.631	23.737	59.413	0.000	64.907	46.987	19.242	7.992	57.430	70.306	74.932	66.047	0.000	72.184	44.918	0.000	0.000	0.000	0.000	0.000	0.000	0.000	74.946	4.923	0.000	167.936	231.413	1.192	15.456	0.444	0.000	0.000	0.000	302.797	230.041	282.759	0.000	419.946	0.000	0.000	6.444	0.000	38.801	0.000	0.000	0.000	49.197	0.000	0.000	0.000	101.814	136.039	58.441	497.821	346.776	111.477	198.366	0.000	129.986	0.000	0.000	0.340	0.000	0.568	0.000	0.000	8.761	0.000	0.000	0.000	0.419	0.000	0.000	0.000	0.168	0.000	0.000	110.918	0.000	172.183	107.656	0.000	0.000	127.508	107.027	111.164	30.944	38.073	248.207	0.000	240.061	0.000	0.000	0.000	0.000	131.022	0.000	271.717	0.000	534.453	0.000	0.000	456.956	0.000	93.045	29.817	0.528	0.000	285.288	0.000	95.659	403.192	679.464	0.000	0.000	19.064	0.000	32.560	113.998	99.045	0.000	115.013	66.869	87.008	0.000	306.222	77.341	222.951	264.702	0.000	607.183	218.122	19.177	204.251	271.905	0.000	369.453	38.031	0.000	525.302	75.120	373.044	271.828	175.027	0.000	304.951	0.000	0.000	533.457	656.671	233.331	396.893	0.000	486.885	0.000	298.757	0.000	0.000	0.000	0.000	0.000	747.899	0.266	1.487	717.030	0.000	647.877	14.459	0.000	654.967	0.000	0.000	0.000	0.000	0.000	0.000	757.390	0.000	0.000	0.000	0.000	0.000	0.000	0.000	864.166	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.057	0.000	0.000	0.434	16.892	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.775	0.000
571325	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.945	7.588	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	51.046	0.000	0.000	12.858	0.000	0.000	14.812	0.000	2.225	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.116	0.000	0.000	2.790	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	19.717	0.000	0.000	0.000	0.390	0.000	0.000	0.000	0.000	0.000	0.546	0.000	0.000	2.443	0.000	0.000	0.000	19.532	0.000	0.000	18.453	0.000	0.000	0.000	0.000	0.000	0.000	5.512	0.000	0.000	20.733	0.000	0.000	3.007	0.000	0.000	39.952	0.000	0.697	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	82.586	0.560	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.908	0.000	0.000	0.000	0.494	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.715	107.673	0.000	2.242	1.309	0.000	3.524	0.000	0.000	0.000	0.000	8.588	2.625	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	8.231	32.285	0.000	0.000	0.000	0.000	12.058	0.000	0.000	0.000	5.397	21.892	1.230	4.017	0.000	0.000	0.000	0.000	0.000	0.269	0.000	0.000	0.000	1.614	0.000	0.000	0.000	23.600	0.000	1.854	0.000	0.000	12.965	0.000	0.000	0.000	59.022	0.000	0.000	0.000	0.000	3.427	18.325	0.000	0.873	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	5.371	0.000	0.000	16.132	7.761	0.000	1.425	0.000	0.000	0.000	2.382	0.000	0.000	0.000	0.000	0.000	0.000	4.556	0.000	37.527	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.854	83.342	0.000	0.656	38.565	0.000	2.159	0.000	0.000	4.084	0.000	0.000	119.703	6.302	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.336	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12.552	0.000	0.000	0.000	14.429	0.000	0.000	0.000	0.000	10.287	0.000	0.000	39.080	0.000	68.807	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	8.719	130.818	0.000	5.518	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.663	0.000	0.000	0.000	61.375	0.000	0.000	0.000	2.360	0.000	0.000	0.000	0.000	51.333	0.000	24.329	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.075	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
