species_id	Dysp_0083	Dysp_0157	Dysp_0065	Dysp_0081	Dysp_0069	Dysp_0047	Dysp_0106	Dysp_0137	Dysp_0023	Dysp_0116	Dysp_0004	Dysp_0107	Dysp_0113	Dysp_0152	Dysp_0067	Dysp_0056	Dysp_0128	Dysp_0102	Dysp_0143	Dysp_0120	Dysp_0015	Dysp_0122	Dysp_0096	Dysp_0042	Dysp_0077	Dysp_0002	Dysp_0129	Dysp_0075	Dysp_0103	Dysp_0032	Dysp_0030	Dysp_0022	Dysp_0027	Dysp_0008	Dysp_0078	Dysp_0045	Dysp_0165	Dysp_0168	Dysp_0089	Dysp_0017	Dysp_0046	Dysp_0172	Dysp_0010	Dysp_0094	Dysp_0119	Dysp_0041	Dysp_0144	Dysp_0029	Dysp_0005	Dysp_0044	Dysp_0154	Dysp_0130	Dysp_0091	Dysp_0095	Dysp_0153	Dysp_0020	Dysp_0012	Dysp_0173	Dysp_0040	Dysp_0149	Dysp_0162	Dysp_0043	Dysp_0142	Dysp_0088	Dysp_0079	Dysp_0038	Dysp_0057	Dysp_0049	VMG_0014	Dysp_0123	Dysp_0055	Dysp_0025	Dysp_0037	VMG_0001	Dysp_0160	Dysp_0064	Dysp_0118	Dysp_0115	Dysp_0006	Dysp_0007	VMG_0002	VMG_0009	Dysp_0125	Dysp_0139	Dysp_0003	VMG_0029	VMG_0020	Dysp_0076	Dysp_0159	VMG_0005	VMG_0021	VMG_0039	Dysp_0161	VMG_0060	Dysp_0109	Dysp_0014	Dysp_0132	Dysp_0112	Dysp_0146	Dysp_0104	Dysp_0036	Dysp_0133	Dysp_0092	Dysp_0131	Dysp_0101	VMG_0051	VMG_0030	VMG_0116	VMG_0049	VMG_0068	VMG_0024	Dysp_0035	Dysp_0021	Dysp_0111	Dysp_0048	Dysp_0059	VMG_0018	VMG_0010	VMG_0015	VMG_0012	VMG_0004	Dysp_0136	Dysp_0001	Dysp_0070	VMG_0055	VMG_0130	Dysp_0150	VMG_0132	VMG_0131	VMG_0069	VMG_0052	Dysp_0052	VMG_0047	VMG_0095	VMG_0133	VMG_0105	VMG_0097	VMG_0011	VMG_0123	VMG_0124	VMG_0006	VMG_0118	VMG_0088	Dysp_0026	VMG_0064	Dysp_0072	Dysp_0175	VMG_0073	VMG_0080	VMG_0125	VMG_0028	VMG_0038	VMG_0045	VMG_0144	VMG_0175	VMG_0157	VMG_0046	VMG_0082	VMG_0044	VMG_0040	VMG_0008	VMG_0071	VMG_0041	VMG_0076	VMG_0156	VMG_0070	VMG_0149	VMG_0065	VMG_0077	VMG_0174	VMG_0126	VMG_0022	VMG_0143	VMG_0096	VMG_0114	VMG_0141	VMG_0158	VMG_0089	VMG_0121	VMG_0054	VMG_0032	VMG_0031	VMG_0107	VMG_0127	VMG_0101	VMG_0122	VMG_0091	VMG_0013	VMG_0109	VMG_0155	VMG_0159	VMG_0146	VMG_0086	VMG_0129	VMG_0090	VMG_0169	VMG_0117	VMG_0115	VMG_0138	VMG_0150	VMG_0152	VMG_0166	VMG_0173	VMG_0148	VMG_0066	VMG_0134	VMG_0057	VMG_0043	VMG_0153	VMG_0083	VMG_0171	VMG_0102	VMG_0170	VMG_0035	VMG_0172	VMG_0165	VMG_0094	VMG_0048	VMG_0056	VMG_0081	VMG_0033	VMG_0067	Dysp_0169	VMG_0084	VMG_0154	VMG_0112	VMG_0163	Dysp_0060	VMG_0003	VMG_0074	VMG_0100	Dysp_0141	Dysp_0073	VMG_0099	Dysp_0117	VMG_0061	VMG_0078	VMG_0110	VMG_0059	VMG_0072	VMG_0017	Dysp_0018	VMG_0128	VMG_0168	VMG_0164	VMG_0087	Dysp_0028	Dysp_0090	VMG_0104	Dysp_0009	VMG_0120	VMG_0167	Dysp_0084	Dysp_0163	VMG_0151	VMG_0016	VMG_0103	Dysp_0158	Dysp_0138	VMG_0034	Dysp_0171	Dysp_0016	VMG_0058	VMG_0162	VMG_0027	Dysp_0108	Dysp_0134	VMG_0139	VMG_0007	Dysp_0061	Dysp_0114	VMG_0111	VMG_0113	VMG_0147	Dysp_0177	VMG_0079	Dysp_0140	VMG_0042	Dysp_0105	VMG_0085	Dysp_0034	VMG_0036	Dysp_0100	VMG_0142	VMG_0026	VMG_0176	Dysp_0033	VMG_0140	Dysp_0082	VMG_0075	VMG_0037	Dysp_0166	VMG_0145	Dysp_0074	VMG_0160	Dysp_0062	VMG_0019	VMG_0108	Dysp_0147	Dysp_0174	Dysp_0135	Dysp_0031	Dysp_0024	VMG_0092	Dysp_0098	VMG_0063	VMG_0161	Dysp_0080	Dysp_0145	VMG_0135	VMG_0025	Dysp_0170	Dysp_0110	Dysp_0097	Dysp_0093	VMG_0050	Dysp_0058	Dysp_0167	VMG_0119	Dysp_0063	VMG_0098	Dysp_0164	VMG_0062	Dysp_0054	Dysp_0156	VMG_0093	Dysp_0124	Dysp_0053	Dysp_0148	Dysp_0013	Dysp_0050	Dysp_0071	Dysp_0068	Dysp_0051	VMG_0177	VMG_0023	VMG_0136	Dysp_0086	Dysp_0066	Dysp_0019	Dysp_0127	VMG_0137	Dysp_0011	Dysp_0151	Dysp_0155	Dysp_0087	Dysp_0121	Dysp_0085	VMG_0106	Dysp_0126	Dysp_0039	Dysp_0099	Dysp_0176
988598	178.828	0.000	290.415	0.000	0.000	0.000	137.989	0.000	173.670	0.039	0.000	0.000	59.374	0.000	0.000	0.000	0.000	0.086	0.000	0.000	0.000	0.000	437.424	0.000	0.067	0.000	0.619	194.922	0.000	0.000	0.000	129.592	0.000	0.000	18.257	0.000	0.000	138.260	343.546	75.941	0.185	0.000	0.000	0.037	167.760	0.000	0.000	0.000	319.215	95.447	0.000	3.343	0.000	0.000	0.000	56.067	0.000	0.000	0.000	228.869	376.890	0.000	394.711	147.203	136.919	0.000	0.000	0.000	0.000	105.728	0.000	0.000	0.000	36.312	0.000	218.236	253.476	0.000	0.000	0.265	0.000	174.153	0.000	168.924	0.000	413.911	169.096	0.000	0.000	424.064	0.218	105.595	0.000	0.000	0.000	74.733	163.990	187.926	0.000	0.000	0.000	19.006	0.000	0.000	0.000	264.018	230.818	74.557	573.026	515.512	0.000	0.000	0.000	4.341	0.657	13.628	40.443	0.000	12.621	0.000	0.000	316.943	114.888	132.162	5.372	0.586	0.000	84.656	0.000	0.000	0.000	35.938	373.784	153.383	15.569	4.962	0.000	76.227	0.000	69.547	0.000	0.000	292.482	0.078	238.117	0.000	0.039	60.918	9.722	0.039	0.039	0.037	66.005	536.645	71.578	47.595	40.368	106.622	57.168	0.078	24.155	0.059	0.000	147.306	0.000	0.067	204.590	68.415	81.095	0.000	0.037	1.400	7.922	319.835	108.177	0.000	0.000	0.039	465.301	0.000	55.321	0.000	0.000	0.058	0.000	0.000	0.000	17.403	63.346	0.000	0.000	0.000	0.000	0.000	0.000	109.751	126.853	256.813	0.219	106.036	1.180	8.895	316.350	125.963	0.000	0.088	0.491	5.986	31.533	0.000	0.000	180.212	0.000	40.584	0.000	0.000	0.000	0.000	126.950	0.066	0.000	0.000	0.000	0.098	0.038	0.127	670.889	19.413	287.854	126.457	0.000	0.000	0.000	0.000	0.000	213.935	0.249	0.594	112.284	0.000	610.868	443.755	231.675	0.000	456.634	687.896	130.462	0.000	0.037	0.000	0.000	120.990	0.000	0.523	264.554	190.640	30.454	0.000	0.000	77.172	0.000	401.276	0.097	286.081	778.922	443.686	0.000	0.059	527.728	0.000	0.106	400.938	547.927	21.187	116.945	201.117	0.069	284.300	309.221	69.614	0.000	289.511	0.000	548.426	317.025	0.000	127.418	0.000	33.540	84.235	0.000	0.000	0.000	0.000	0.000	0.066	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.643	0.000	14.101	703.908	788.519	0.000	720.962	218.886	0.000	93.877	249.268	40.175	917.710	0.000	0.347	0.116	0.000	789.783	318.309	0.000	0.000	0.479	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.235	0.000	0.000	0.068	0.000	16.111	0.000	0.643	0.000	0.000	0.107	0.000	0.000
783244	68.211	0.000	0.000	1.365	0.000	0.000	0.000	3.557	0.000	0.034	59.509	12.104	0.993	36.443	0.066	0.000	0.000	111.039	0.000	0.000	0.000	0.000	0.313	0.000	0.000	0.034	0.000	36.315	0.034	0.102	0.146	0.865	11.558	0.000	0.000	0.000	0.000	0.000	0.000	40.612	0.039	0.000	0.000	0.051	0.000	0.060	3.136	0.000	0.000	0.111	0.060	20.383	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	91.118	32.167	0.000	0.060	0.000	177.383	23.018	0.033	0.000	0.000	0.390	0.051	0.000	0.000	0.000	0.000	0.000	33.060	35.456	0.000	0.000	0.000	0.043	0.034	0.171	0.000	0.000	38.717	0.000	0.000	0.306	0.000	0.000	0.000	0.000	0.051	0.579	0.000	0.450	8.827	0.000	0.000	0.103	0.000	0.076	0.000	0.000	0.000	0.000	0.119	0.000	16.519	45.521	0.034	0.000	0.000	0.000	2.834	0.000	0.000	0.000	0.000	0.000	0.000	118.105	0.000	1.258	0.000	37.243	0.060	0.000	0.000	0.000	0.000	0.102	0.000	0.000	0.039	9.816	0.000	0.000	0.000	0.000	0.000	0.000	1.834	155.434	0.000	0.357	0.000	0.000	112.785	0.034	0.084	4.764	0.000	0.000	0.034	0.000	0.000	0.315	0.000	111.859	0.000	18.436	0.856	0.000	0.000	0.000	0.802	10.969	163.971	0.000	1.326	0.000	0.000	382.383	0.000	0.000	0.000	0.000	0.000	0.000	0.084	26.099	0.000	106.845	0.051	0.043	3.718	0.000	0.210	0.000	0.000	0.438	0.000	0.000	0.000	127.768	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.077	0.000	0.000	136.506	0.000	0.000	0.000	53.929	0.000	612.219	0.000	0.000	0.110	0.749	0.000	0.084	0.000	0.000	0.000	0.000	2.720	0.000	0.000	0.000	142.050	0.656	0.000	18.298	0.086	10.314	0.000	0.000	41.264	0.000	0.000	0.000	15.647	1.776	0.000	0.000	25.610	0.000	33.519	0.094	0.000	0.000	2.257	0.051	3.129	0.000	281.160	19.778	1.337	515.405	0.000	11.076	0.424	0.000	0.103	80.648	231.554	0.000	166.039	80.673	0.000	0.093	40.821	0.000	0.000	1.950	0.000	2.318	0.000	114.907	0.000	106.501	1.013	0.203	56.846	0.000	0.327	0.000	528.709	1081.686	557.062	248.940	218.449	34.820	689.591	745.749	1240.736	278.767	1385.892	132.492	0.000	61.675	50.617	141.387	0.000	0.000	0.000	160.909	0.000	0.000	48.119	13.186	0.000	0.000	0.000	179.990	33.458	22.766	13.350	0.033	0.409	726.639	16.952	136.256	26.659	261.934	345.468	50.119	0.000	132.704	1643.461	0.060	1143.878	13.685	64.025	919.824	418.790	150.770	4.601	181.133	172.370	29.586	249.986	644.845	649.577	290.716	55.191	120.871	38.520	49.755	81.354	2203.321
611554	12.850	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	42.844	0.000	0.000	116.386	0.000	169.558	0.000	0.000	0.000	7.150	0.000	0.000	0.000	0.000	0.772	0.000	0.000	0.039	0.000	4.443	0.000	0.664	0.000	78.410	0.000	0.000	0.000	0.000	0.000	0.039	0.000	0.000	0.000	0.000	0.000	5.795	0.146	0.000	0.000	0.000	0.132	0.386	0.000	0.000	0.000	15.182	0.000	0.000	0.000	0.077	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.621	0.000	0.000	0.000	3.243	0.000	0.000	2.142	0.000	0.000	15.631	5.427	1.215	0.000	2.769	0.000	0.088	0.000	0.000	0.087	0.000	0.000	0.385	0.000	0.000	39.950	0.078	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.036	0.000	0.000	0.231	155.208	0.000	0.000	0.000	0.096	0.505	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.039	0.000	0.000	0.000	0.264	0.000	0.000	0.000	0.222	0.000	0.000	0.087	0.000	0.000	0.000	0.000	0.000	12.127	46.150	0.000	0.000	0.000	0.000	0.000	14.438	2.782	0.000	0.000	13.537	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.824	0.000	180.034	0.000	0.421	0.000	0.000	0.000	0.000	0.194	0.000	0.078	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.911	0.000	0.105	0.000	0.000	15.998	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	52.992	0.000	5.015	0.068	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.734	0.000	27.776	0.000	4.828	0.000	0.000	0.000	0.000	0.289	0.000	0.000	0.000	0.000	0.000	0.000	0.095	0.000	0.000	0.000	0.000	0.000	0.692	0.000	3.676	0.000	0.000	0.854	0.000	0.000	0.000	0.000	0.263	0.000	0.000	0.000	0.000	0.000	27.240	0.000	0.000	0.611	0.000	0.000	0.360	0.000	0.000	0.000	0.000	0.049	14.786	0.000	7.871	0.000	0.000	0.000	0.048	0.000	8.053	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.933	0.000	0.000	0.673	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.412	169.206	0.176	0.000	0.000	0.000	0.000	0.000	0.000	0.172	8.370	0.953	0.000	0.000	0.000	0.000	0.000	0.000	0.215	0.790	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
240891	0.000	165.808	0.000	122.133	45.600	42.080	0.000	0.000	4.861	0.000	0.000	142.695	1.934	0.000	111.148	0.000	0.040	0.000	169.365	0.000	131.438	193.124	2.494	65.982	0.000	311.830	80.279	0.000	112.225	0.176	4.315	0.000	0.000	0.000	76.249	0.000	22.630	0.000	17.847	0.394	6.591	57.594	88.320	367.240	0.630	0.000	223.621	0.000	0.000	0.000	65.057	46.727	236.318	0.000	187.718	0.000	16.966	0.000	43.876	0.000	22.695	0.896	0.000	1.251	2.545	0.000	0.000	13.574	72.171	0.000	9.402	0.000	131.861	0.000	0.000	1.285	9.849	11.303	0.000	8.493	0.000	0.000	84.390	1.324	13.210	0.000	0.000	40.239	41.153	0.177	0.000	0.995	88.058	123.961	0.000	0.000	101.729	4.549	76.398	0.000	0.000	25.930	57.540	0.000	171.385	0.129	0.000	0.000	0.000	12.231	0.000	6.424	7.490	60.388	10.883	0.000	0.000	17.897	27.846	0.000	5.632	0.000	213.804	32.511	46.858	0.000	121.441	0.000	0.000	174.093	276.890	45.054	0.509	0.080	279.666	0.949	85.936	0.000	280.099	0.057	0.000	207.868	0.208	0.000	0.000	0.000	62.228	0.000	59.367	41.755	0.000	0.058	40.506	0.641	10.209	0.000	0.818	0.206	0.168	46.902	15.045	140.225	0.000	0.000	0.000	0.168	9.174	0.000	0.000	0.000	0.000	0.000	27.135	4.938	0.000	65.267	0.000	13.556	0.000	65.445	0.000	107.683	41.103	176.726	0.000	0.000	0.746	26.253	0.000	0.000	199.986	26.209	0.000	40.703	0.000	82.507	0.000	0.302	0.000	53.522	3.062	16.876	0.000	0.000	0.000	0.000	3.974	0.000	109.013	0.000	114.641	0.000	0.000	226.905	0.000	0.000	0.000	0.000	107.458	34.434	1.086	0.000	150.816	0.000	86.376	114.902	0.000	69.237	6.588	0.000	388.427	0.000	29.061	0.000	14.112	0.000	0.000	0.088	0.000	0.000	0.139	1.876	63.011	0.000	18.453	0.039	0.000	0.000	0.059	2.103	283.997	0.000	111.902	0.000	0.000	9.912	59.903	109.909	6.400	193.576	26.478	0.000	18.173	1.751	11.280	13.781	325.959	0.000	0.000	1.675	14.030	0.000	0.864	60.129	97.952	2.077	87.535	0.000	0.000	123.384	59.247	0.107	48.572	0.636	0.643	0.000	0.060	123.423	24.472	0.127	30.417	0.000	24.313	12.235	38.748	0.049	1.307	0.000	0.000	65.250	2.159	43.640	0.573	69.482	0.000	0.000	0.951	0.000	36.047	5.729	0.000	92.063	36.327	0.000	320.013	0.000	50.977	156.659	31.456	0.039	0.168	6.476	162.501	3.028	34.828	4.438	0.000	0.636	23.206	19.881	0.000	0.676	369.106	0.000	0.000	11.008	122.090	1.257	0.000	3.972	1.637	79.102	0.450	18.825	35.662	16.675	26.539	1.865	122.820	0.968	46.766	0.000	0.000
571325	0.000	0.000	2.214	0.000	0.000	2.240	0.000	0.000	0.542	0.000	0.000	0.000	0.040	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12.711	0.000	20.780	0.000	50.686	0.000	17.834	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.511	0.000	0.000	6.263	0.000	0.000	0.000	0.000	0.000	0.000	0.464	0.000	0.204	0.000	0.283	0.000	0.000	0.000	109.899	2.616	0.000	0.000	0.000	0.000	37.057	0.000	5.675	2.186	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	84.805	0.000	0.000	20.464	0.976	28.668	9.463	0.000	2.253	0.000	0.000	0.000	0.000	2.728	0.000	0.000	8.846	0.000	0.000	0.000	0.000	0.000	0.249	0.000	3.621	0.468	0.000	0.000	0.000	0.000	0.000	0.000	1.362	0.000	4.328	0.000	16.028	0.000	13.086	0.000	2.446	0.000	0.000	0.000	2.391	0.000	0.000	0.869	3.085	0.000	0.959	23.398	0.000	19.217	0.000	0.000	0.000	59.322	15.471	7.752	1.761	13.711	0.000	8.286	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12.352	0.000	0.000	0.000	0.000	0.000	0.354	0.000	0.000	0.000	5.265	0.093	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.404	1.425	0.000	0.000	0.000	0.000	21.968	0.000	0.000	5.069	0.835	18.857	3.443	0.000	33.243	1.460	0.000	0.000	17.431	0.000	0.342	6.121	0.000	0.000	124.505	1.137	0.000	84.711	0.000	0.000	0.000	0.000	0.000	1.189	0.369	0.000	0.000	0.000	0.000	0.059	0.000	0.904	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	6.530	0.000	0.000	2.547	0.000	0.000	0.000	0.000	0.313	13.505	0.000	0.000	0.000	10.527	0.000	0.000	0.000	0.000	0.000	0.000	2.953	0.000	3.663	12.357	0.000	0.000	0.000	0.000	1.835	33.279	41.392	0.000	0.251	0.000	0.000	0.000	6.106	0.206	4.342	1.081	0.000	3.833	0.164	8.971	2.369	0.000	51.438	0.854	0.000	0.000	0.000	0.000	0.000	0.000	5.637	2.489	0.057	0.000	0.000	0.000	0.000	0.000	11.089	0.000	0.000	23.861	69.174	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.457	0.000	0.000	24.535	0.000	0.000	39.248	11.811	135.680	0.000	0.000	0.000	0.000	0.000	4.212	60.242	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
619501	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.306	0.000	0.054	0.000	2.691	0.855	4.177	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.279	0.000	4.064	0.000	1.171	1.074	0.000	0.000	0.000	0.000	0.000	0.226	0.000	0.000	0.000	0.000	0.000	0.000	0.054	0.000	0.000	0.000	0.000	0.037	0.000	0.000	0.000	0.000	0.000	0.133	0.000	0.000	0.000	15.590	18.587	0.000	0.000	0.000	20.541	15.813	0.000	0.000	0.000	0.054	0.000	0.000	0.000	1.032	0.000	0.109	0.036	0.551	0.000	0.000	0.000	0.000	0.036	0.000	0.000	0.000	84.556	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.036	0.036	12.197	0.000	0.000	13.679	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	113.352	0.385	0.000	25.558	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	18.435	0.000	0.000	0.000	0.000	30.118	0.000	0.000	12.632	0.000	0.036	0.036	0.000	0.000	0.000	0.045	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	7.157	0.000	0.000	0.270	0.000	0.000	0.000	0.457	0.312	65.693	0.000	0.305	0.000	0.000	35.547	0.000	0.000	0.000	0.000	0.000	0.000	0.782	0.000	0.000	0.000	0.000	0.091	7.792	0.000	0.000	0.000	0.000	2.758	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.178	16.687	0.000	0.000	0.000	0.000	4.992	0.000	158.634	0.000	0.000	6.159	0.000	0.046	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	172.948	0.116	0.000	0.000	0.000	22.516	0.000	0.000	2.536	0.000	0.000	0.000	0.623	0.000	0.000	0.000	0.000	0.000	2.274	0.036	0.000	0.000	0.000	0.000	11.054	0.000	0.000	76.775	0.471	19.185	0.000	155.470	0.234	0.000	0.000	0.000	0.000	0.000	49.095	18.602	0.000	0.000	17.106	0.000	0.000	0.000	0.000	0.882	0.000	4.625	0.000	23.585	0.000	0.000	21.341	0.000	0.000	0.000	0.000	246.151	131.293	73.053	262.449	121.390	150.041	213.593	265.932	397.279	128.425	66.509	148.299	90.213	38.390	0.000	35.155	0.000	0.000	292.029	0.000	0.000	183.880	0.000	0.000	0.000	0.000	29.474	72.078	283.085	29.153	0.000	0.204	195.147	199.227	313.661	276.439	268.107	272.791	273.240	0.000	64.016	311.874	0.000	202.480	41.875	128.997	354.132	62.021	197.777	75.220	211.864	149.799	162.164	1.472	200.761	154.927	133.739	131.333	365.670	270.162	7.325	128.503	240.021
