species_id	median_abundance	mean_abundance	median_coverage	mean_depth	sample_counts
240891	0.004	0.252	0.636	33.130	187
988598	0.000	0.314	0.000	73.729	144
783244	0.000	0.171	0.000	61.902	118
619501	0.000	0.107	0.000	27.916	94
611554	0.000	0.046	0.000	3.364	44
571325	0.000	0.034	0.000	3.729	66
