genome,species,representative,genome_is_representative,database,genome_type,species_name,source
MG910.mbin.2,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
SRR6748172.sbin.2,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
MG703.mbin.10,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR6748171.sbin.3,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
MG184.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
ERR3500852.mbin.3,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
MG416.mbin.3,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
MG507.mbin.5,783244,ERR10897722.mbin.1,0,VMGC,MAG,Bifidobacterium vaginale,FRT
MG177.mbin.7,783244,ERR10897722.mbin.1,0,VMGC,MAG,Bifidobacterium vaginale,FRT
SRR13167654.sbin.3,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR17635492.mbin.6,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
MG95.mbin.25,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
