,Assembly Accession,Assembly BioProject Lineage Title,Assembly BioSample BioProject Title,Assembly BioSample Project name,Assembly BioSample Description Title,Assembly BioSample Breed,Assembly BioSample Host,Assembly BioSample Ecotype,Assembly BioSample Cultivar,Assembly BioSample Host disease,Assembly BioSample Isolation source,Assembly BioSample Source type,Assembly BioSample Tissue,Assembly BioSample Models,is_human,human_subcategory,species
170412,GCF_002554015.1,Lactobacillaceae Genome sequencing and assembly,,,Microbe sample from Lactobacillus sp. UMNPBX8,,Meleagris gallopavo,,,,ileum,,,"Microbe, viral or environmental",,,100122
170407,GCF_002554085.1,Lactobacillaceae Genome sequencing and assembly,,,Microbe sample from Lactobacillus sp. UMNPBX1,,Meleagris gallopavo,,,,ileum,,,"Microbe, viral or environmental",,,100122
170139,GCF_002861765.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-associated",True,urine,100122
170141,GCF_002861775.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-associated",True,urine,100122
170143,GCF_002861805.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-associated",True,urine,100122
170145,GCF_002861815.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-associated",True,urine,100122
170147,GCF_002863245.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-associated",True,urine,100122
170149,GCF_002863485.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-associated",True,urine,100122
170151,GCF_002863505.1,Female Urinary Microbiota Genome Sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-associated",True,urine,100122
170153,GCF_003795065.1,Lactobacillus crispatus strain:CO3MRSI1 Genome sequencing,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,mid-vagina,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
170154,GCF_003971565.1,Lactobacillus crispatus AB70 Genome sequencing and assembly,,,Microbe sample from Lactobacillus crispatus,,homo sapiens,,,,korean vaginal fluid,,,"Microbe, viral or environmental",True,female reproductive tract,100122
170155,GCF_004103355.1,Lactobacillus crispatus strain:L49 Genome sequencing and assembly,,,Microbe sample from Lactobacillus crispatus,,homo sapiens,,,,vaginal tract,,,"Microbe, viral or environmental",True,female reproductive tract,100122
170156,GCF_004334905.1,Lactobacillus crispatus strain:CG-12 Genome sequencing and assembly,,,Microbe sample from Lactobacillus crispatus,,chicken,,,,feces,,,"Microbe, viral or environmental",,,100122
170157,GCF_004361075.1,Lactobacillus crispatus Genome sequencing and assembly,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
170158,GCF_004361095.1,Lactobacillus crispatus Genome sequencing and assembly,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
170159,GCF_004361115.1,Lactobacillus crispatus Genome sequencing and assembly,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
170160,GCF_004361125.1,Lactobacillus crispatus Genome sequencing and assembly,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
170161,GCF_004361175.1,Lactobacillus crispatus Genome sequencing and assembly,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
170162,GCF_004361185.1,Lactobacillus crispatus Genome sequencing and assembly,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
170163,GCF_004361195.1,Lactobacillus crispatus Genome sequencing and assembly,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
170164,GCF_004361205.1,Lactobacillus crispatus Genome sequencing and assembly,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
170165,GCF_004361215.1,Lactobacillus crispatus Genome sequencing and assembly,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
170166,GCF_004361245.1,Lactobacillus crispatus Genome sequencing and assembly,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
170167,GCF_004361265.1,Lactobacillus crispatus Genome sequencing and assembly,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
170168,GCF_004361295.1,Lactobacillus crispatus Genome sequencing and assembly,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
170169,GCF_004361315.1,Lactobacillus crispatus Genome sequencing and assembly,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
170170,GCF_004361345.1,Lactobacillus crispatus Genome sequencing and assembly,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
170171,GCF_004361355.1,Lactobacillus crispatus Genome sequencing and assembly,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
170172,GCF_004361375.1,Lactobacillus crispatus Genome sequencing and assembly,,,Lactobacillus crispatus str. RL02 Clinical isolate from vaginal microflora,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
170173,GCF_004361385.1,Lactobacillus crispatus Genome sequencing and assembly,,,Lactobacillus crispatus str. RL03 Clinical isolate from vaginal microflora,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
170174,GCF_004361395.1,Lactobacillus crispatus Genome sequencing and assembly,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
170175,GCF_004361445.1,Lactobacillus crispatus Genome sequencing and assembly,,,MIGS Cultured Bacterial/Archaeal sample from Lactobacillus crispatus,,homo sapiens,,,,,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-vaginal",True,female reproductive tract,100122
