,PFAM,count,p,enrichment,species,p_BHadj
32,Bro-N,14,0.000999000999000999,VMGC,988598,0.007992007992007992
8,Glycos_transf_2,40,0.000999000999000999,GTDB,988598,0.007992007992007992
7,AbiH,10,0.000999000999000999,GTDB,988598,0.007992007992007992
2,YSIRK_signal,42,0.000999000999000999,GTDB,988598,0.007992007992007992
1,Gram_pos_anchor,43,0.000999000999000999,GTDB,988598,0.007992007992007992
20,Methylase_S,41,0.000999000999000999,GTDB,988598,0.007992007992007992
11,Glycos_transf_1,37,0.000999000999000999,GTDB,988598,0.007992007992007992
18,N6_Mtase,19,0.001998001998001998,GTDB,988598,0.013986013986013986
15,Polysacc_synt_C,15,0.003996003996003996,GTDB,988598,0.022377622377622378
16,Glyco_transf_4,16,0.003996003996003996,GTDB,988598,0.022377622377622378
13,AAA_24,11,0.006993006993006993,VMGC,988598,0.03560076287349015
13,Hexapep,11,0.008991008991008992,GTDB,988598,0.04195804195804197
3,Terminase_1,12,0.00999000999000999,VMGC,988598,0.04303388918773534
3,SLAP,36,0.01098901098901099,GTDB,988598,0.04395604395604396
14,Polysacc_synt,14,0.01898101898101898,GTDB,988598,0.07086247086247086
27,N6_N4_Mtase,15,0.03396603396603397,VMGC,988598,0.1188811188811189
23,Fic,12,0.04095904095904096,VMGC,988598,0.134923899629782
4,Glyco_hydro_25,25,0.056943056943056944,VMGC,988598,0.17715617715617715
25,Resolvase,16,0.060939060939060936,VMGC,988598,0.17960986382039013
5,ResIII,21,0.07392607392607392,VMGC,988598,0.1998001998001998
1,HTH_3,74,0.07492507492507493,VMGC,988598,0.1998001998001998
14,ANT,11,0.13186813186813187,VMGC,988598,0.3210702341137124
33,Rib,15,0.13086913086913088,VMGC,988598,0.3210702341137124
28,ERF,10,0.15484515484515485,VMGC,988598,0.3335126412049489
26,Transposase_mut,16,0.15384615384615385,VMGC,988598,0.3335126412049489
17,ResIII,14,0.14785214785214784,GTDB,988598,0.3335126412049489
10,DDE_Tnp_1,10,0.2017982017982018,GTDB,988598,0.41854441854441854
5,PTS_EIIC,15,0.22277722277722278,GTDB,988598,0.44555444555444557
4,rve,14,0.23876123876123875,GTDB,988598,0.4610561851941162
24,RelB,13,0.26073926073926074,VMGC,988598,0.48671328671328673
6,MFS_1,19,0.3196803196803197,GTDB,988598,0.5594405594405595
12,Helicase_C,19,0.3176823176823177,VMGC,988598,0.5594405594405595
12,Phage_integrase,27,0.34965034965034963,GTDB,988598,0.5933460478915024
0,HTH_3,44,0.4075924075924076,GTDB,988598,0.6713286713286715
0,Phage_integrase,38,0.46153846153846156,VMGC,988598,0.7384615384615385
11,Phage_int_SAM_3,14,0.5524475524475524,VMGC,988598,0.8361368361368361
21,NLPC_P60,20,0.5494505494505495,VMGC,988598,0.8361368361368361
8,Polysacc_synt,11,0.6513486513486514,VMGC,988598,0.9258741258741259
2,HTH_1,11,0.6493506493506493,VMGC,988598,0.9258741258741259
9,Polysacc_synt_C,11,0.6613386613386614,VMGC,988598,0.9258741258741259
34,PTS_EIIA_2,10,0.7222777222777222,VMGC,988598,0.9865256694524988
7,LysM,10,0.7482517482517482,VMGC,988598,0.9976689976689976
6,YSIRK_signal,27,0.9340659340659341,VMGC,988598,1.0
10,MFS_1,16,0.991008991008991,VMGC,988598,1.0
15,PTS_EIIC,12,0.978021978021978,VMGC,988598,1.0
17,rve,12,0.954045954045954,VMGC,988598,1.0
19,Glycos_transf_2,17,0.938061938061938,VMGC,988598,1.0
30,ABC_tran,52,0.9370629370629371,VMGC,988598,1.0
31,Methylase_S,18,0.935064935064935,VMGC,988598,1.0
19,BPD_transp_1,10,0.8691308691308691,GTDB,988598,1.0
20,Glycos_transf_1,17,0.9300699300699301,VMGC,988598,1.0
18,N6_Mtase,11,0.9010989010989011,VMGC,988598,1.0
29,ABC_membrane,16,0.8901098901098901,VMGC,988598,1.0
16,Gram_pos_anchor,31,0.8801198801198801,VMGC,988598,1.0
22,SLAP,16,1.0,VMGC,988598,1.0
9,ABC_tran,16,1.0,GTDB,988598,1.0
