,PFAM,count,p,enrichment,species,p_BHadj
14,RVT_1,21,0.01098901098901099,VMGC,783244,0.14385614385614387
9,Glyco_hydro_25,24,0.011988011988011988,VMGC,783244,0.14385614385614387
18,DUF3310,11,0.025974025974025976,VMGC,783244,0.2077922077922078
22,DUF285,15,0.14085914085914086,VMGC,783244,0.6313686313686314
6,Phage_holin_4_1,13,0.15484515484515485,VMGC,783244,0.6313686313686314
7,FIVAR,83,0.18581418581418582,VMGC,783244,0.6313686313686314
15,Prophage_tail,14,0.1928071928071928,VMGC,783244,0.6313686313686314
5,Gram_pos_anchor,50,0.22077922077922077,VMGC,783244,0.6313686313686314
4,Methylase_S,36,0.23676323676323677,VMGC,783244,0.6313686313686314
19,N6_Mtase,10,0.2817182817182817,VMGC,783244,0.6761238761238761
3,N6_N4_Mtase,14,0.3856143856143856,VMGC,783244,0.7119034811342504
1,Phage_int_SAM_3,13,0.35664335664335667,VMGC,783244,0.7119034811342504
20,His_Phos_1,15,0.34565434565434566,VMGC,783244,0.7119034811342504
16,DEAD,13,0.4565434565434565,VMGC,783244,0.7432567432567432
8,Flg_new,22,0.4645354645354645,VMGC,783244,0.7432567432567432
2,Phage_integrase,20,0.6213786213786214,VMGC,783244,0.9320679320679321
17,Helicase_C,12,0.7122877122877123,VMGC,783244,0.9640885430359115
13,CbiQ,10,0.7562437562437563,VMGC,783244,0.9640885430359115
11,HTH_3,14,0.7632367632367633,VMGC,783244,0.9640885430359115
23,FtsX,12,0.8641358641358642,VMGC,783244,1.0
21,Sortase,13,0.9000999000999002,VMGC,783244,1.0
12,GA,17,0.932067932067932,VMGC,783244,1.0
10,BPD_transp_1,11,1.0,VMGC,783244,1.0
0,ABC_tran,54,1.0,VMGC,783244,1.0
