,PFAM,count,p,enrichment,species,p_BHadj
0,HTH_3,53,0.017982017982017984,VMGC,611554,0.16183816183816185
7,Phage_integrase,21,0.03996003996003996,VMGC,611554,0.17532467532467533
6,Phage_int_SAM_3,11,0.07492507492507493,VMGC,611554,0.17532467532467533
2,NLPC_P60,10,0.07792207792207792,VMGC,611554,0.17532467532467533
3,Resolvase,13,0.15284715284715283,VMGC,611554,0.2751248751248751
8,MFS_1,16,0.7292707292707292,VMGC,611554,0.996003996003996
5,YSIRK_signal,11,0.9270729270729271,VMGC,611554,0.996003996003996
4,Gram_pos_anchor,16,0.962037962037962,VMGC,611554,0.996003996003996
1,ABC_tran,30,0.996003996003996,VMGC,611554,0.996003996003996
