Query	Taxid	Tax name	Authority	Rank	Basionym	Basionym authority	Curator common name	Has type material	Group name	Domain/Realm name	Domain/Realm taxid	Kingdom name	Kingdom taxid	Phylum name	Phylum taxid	Class name	Class taxid	Order name	Order taxid	Family name	Family taxid	Genus name	Genus taxid	Species name	Species taxid	Scientific name is formal
1265	1265	Ruminococcus flavefaciens	Sijpesteijn 1948	SPECIES				yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Clostridia	186801	Eubacteriales	186802	Oscillospiraceae	216572	Ruminococcus	1263	Ruminococcus flavefaciens	1265	TRUE
1302272	1302272	Secundilactobacillus kimchicus JCM 15530		STRAIN				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Secundilactobacillus	2767892	Secundilactobacillus kimchicus	528209	FALSE
1309	1309	Streptococcus mutans	Clarke 1924	SPECIES				yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Streptococcaceae	1300	Streptococcus	1301	Streptococcus mutans	1309	TRUE
1310	1310	Streptococcus sobrinus	(ex Coykendall 1974) Coykendall 1983	SPECIES				yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Streptococcaceae	1300	Streptococcus	1301	Streptococcus sobrinus	1310	TRUE
1352	1352	Enterococcus faecium	(Orla-Jensen 1919) Schleifer and Kilpper-Balz 1984	SPECIES	Streptococcus faecium	Orla-Jensen 1919 (Approved Lists 1980)		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Enterococcaceae	81852	Enterococcus	1350	Enterococcus faecium	1352	TRUE
137357	137357	Ligilactobacillus equi	(Morotomi et al. 2002) Zheng et al. 2020	SPECIES	Lactobacillus equi	Morotomi et al. 2002		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Ligilactobacillus	2767887	Ligilactobacillus equi	137357	TRUE
1392007	1392007	Ligilactobacillus equi DPC 6820		STRAIN				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Ligilactobacillus	2767887	Ligilactobacillus equi	137357	FALSE
1392502	1392502	Selenomonas sp. AB3002		SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Negativicutes	909932	Selenomonadales	909929	Selenomonadaceae	1843491	Selenomonas	970	Selenomonas sp. AB3002	1392502	FALSE
1408313	1408313	Selenomonas sp. FC4001		SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Negativicutes	909932	Selenomonadales	909929	Selenomonadaceae	1843491	Selenomonas	970	Selenomonas sp. FC4001	1408313	FALSE
1423736	1423736	Lactobacillus crispatus DSM 20584 = JCM 1185 = ATCC 33820		STRAIN				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lactobacillus	1578	Lactobacillus crispatus	47770	FALSE
1423739	1423739	Lentilactobacillus diolivorans DSM 14421		STRAIN				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lentilactobacillus	2767893	Lentilactobacillus diolivorans	179838	FALSE
1423748	1423748	Lactobacillus gallinarum DSM 10532 = JCM 2011		STRAIN				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lactobacillus	1578	Lactobacillus gallinarum	52242	FALSE
