Query	Taxid	Tax name	Authority	Rank	Basionym	Basionym authority	Curator common name	Has type material	Group name	Domain/Realm name	Domain/Realm taxid	Kingdom name	Kingdom taxid	Phylum name	Phylum taxid	Class name	Class taxid	Order name	Order taxid	Family name	Family taxid	Genus name	Genus taxid	Species name	Species taxid	Scientific name is formal
1930076	1930076	Leuconostoc sp.		SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Leuconostoc	1243	Leuconostoc sp.	1930076	FALSE
194326	194326	Companilactobacillus versmoldensis	(Kröckel et al. 2003) Zheng et al. 2020	SPECIES	Lactobacillus versmoldensis	Kröckel et al. 2003		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Companilactobacillus	2767879	Companilactobacillus versmoldensis	194326	TRUE
1955243	1955243	Blautia sp.		SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Clostridia	186801	Lachnospirales	3085636	Lachnospiraceae	186803	Blautia	572511	Blautia sp.	1955243	FALSE
1970790	1970790	[Lactobacillus] timonensis	Afouda et al. 2017	SPECIES				yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Limosilactobacillus	2742598	[Lactobacillus] timonensis	1970790	FALSE
1993540	1993540	Companilactobacillus nuruki	(Heo et al. 2018) Zheng et al. 2020	SPECIES	Lactobacillus nuruki	Heo et al. 2018		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Companilactobacillus	2767879	Companilactobacillus nuruki	1993540	TRUE
2005359	2005359	Faecalicatena	Sakamoto et al. 2017	GENUS				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Clostridia	186801	Lachnospirales	3085636	Lachnospiraceae	186803	Faecalicatena	2005359			TRUE
2012477	2012477	Lactobacillus porci	Kim et al. 2018	SPECIES				yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lactobacillus	1578	Lactobacillus porci	2012477	TRUE
2030927	2030927	Bacteroidales bacterium		SPECIES				no	CFB group bacteria	Bacteria	2	Pseudomonadati	3379134	Bacteroidota	976	Bacteroidia	200643	Bacteroidales	171549					Bacteroidales bacterium	2030927	FALSE
2040332	2040332	Dorea sp.		SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Clostridia	186801	Lachnospirales	3085636	Lachnospiraceae	186803	Dorea	189330	Dorea sp.	2040332	FALSE
2042043	2042043	Lactobacillus sp. UMNPBX4		SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lactobacillus	1578	Lactobacillus sp. UMNPBX4	2042043	FALSE
2044939	2044939	Clostridia bacterium		SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Clostridia	186801							Clostridia bacterium	2044939	FALSE
2047426	2047426	Schwartzia sp. (in: firmicutes)		SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Negativicutes	909932	Selenomonadales	909929	Selenomonadaceae	1843491	Schwartzia	55506	Schwartzia sp. (in: firmicutes)	2047426	FALSE
2048138	2048138	Agathobaculum sp.		SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Clostridia	186801	Eubacteriales	186802	Butyricicoccaceae	3085642	Agathobaculum	2048137	Agathobaculum sp.	2048138	FALSE
2049039	2049039	Phascolarctobacterium sp.		SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Negativicutes	909932	Acidaminococcales	1843488	Acidaminococcaceae	909930	Phascolarctobacterium	33024	Phascolarctobacterium sp.	2049039	FALSE
2049040	2049040	Roseburia sp.		SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Clostridia	186801	Lachnospirales	3085636	Lachnospiraceae	186803	Roseburia	841	Roseburia sp.	2049040	FALSE
2049044	2049044	Erysipelotrichaceae bacterium		SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Erysipelotrichia	526524	Erysipelotrichales	526525	Erysipelotrichaceae	128827			Erysipelotrichaceae bacterium	2049044	FALSE
2049431	2049431	Tissierellia bacterium		SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Tissierellia	1737404							Tissierellia bacterium	2049431	FALSE
2052179	2052179	Peptococcaceae bacterium		SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Clostridia	186801	Eubacteriales	186802	Peptococcaceae	186807			Peptococcaceae bacterium	2052179	FALSE
2053611	2053611	Selenomonas sp.		SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Negativicutes	909932	Selenomonadales	909929	Selenomonadaceae	1843491	Selenomonas	970	Selenomonas sp.	2053611	FALSE
2053624	2053624	Synergistaceae bacterium		SPECIES				no	bacteria	Bacteria	2	Thermotogati	3384194	Synergistota	508458	Synergistia	649775	Synergistales	649776	Synergistaceae	649777			Synergistaceae bacterium	2053624	FALSE
2069348	2069348	Lactobacillus sp. ESL0261		SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lactobacillus	1578	Lactobacillus sp. ESL0261	2069348	FALSE
2069354	2069354	Lactobacillus sp. ESL0233		SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lactobacillus	1578	Lactobacillus sp. ESL0233	2069354	FALSE
2069355	2069355	Lactobacillus sp. ESL0234		SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lactobacillus	1578	Lactobacillus sp. ESL0234	2069355	FALSE
2107999	2107999	Lactobacillus paragasseri	Tanizawa et al. 2018	SPECIES				yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lactobacillus	1578	Lactobacillus paragasseri	2107999	TRUE
216463	216463	Levilactobacillus spicheri	(Meroth et al. 2004) Zheng et al. 2020	SPECIES	Lactobacillus spicheri	Meroth et al. 2004		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Levilactobacillus	2767886	Levilactobacillus spicheri	216463	TRUE
2185275	2185275	Lawsonibacter sp.		SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Clostridia	186801	Eubacteriales	186802	Oscillospiraceae	216572	Lawsonibacter	2172004	Lawsonibacter sp.	2185275	FALSE
2201249	2201249	Lactobacillus corticis	Tohno et al. 2021	SPECIES				yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lactobacillus	1578	Lactobacillus corticis	2201249	TRUE
2212467	2212467	Bacteroidaceae bacterium		SPECIES				no	CFB group bacteria	Bacteria	2	Pseudomonadati	3379134	Bacteroidota	976	Bacteroidia	200643	Bacteroidales	171549	Bacteroidaceae	815			Bacteroidaceae bacterium	2212467	FALSE
2268022	2268022	Limosilactobacillus walteri	Soha et al. 2023	SPECIES				yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Limosilactobacillus	2742598	Limosilactobacillus walteri	2268022	FALSE
227943	227943	Limosilactobacillus antri	(Roos et al. 2005) Zheng et al. 2020	SPECIES	Lactobacillus antri	Roos et al. 2005		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Limosilactobacillus	2742598	Limosilactobacillus antri	227943	TRUE
227944	227944	Lactobacillus kalixensis	Roos et al. 2005	SPECIES				yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lactobacillus	1578	Lactobacillus kalixensis	227944	TRUE
227945	227945	Lactobacillus ultunensis	Roos et al. 2005	SPECIES				yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lactobacillus	1578	Lactobacillus ultunensis	227945	TRUE
228229	228229	Ligilactobacillus saerimneri	(Sharpe et al. 1973) Zheng et al. 2020	SPECIES	Lactobacillus saerimneri	Pedersen and Roos 2004		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Ligilactobacillus	2767887	Ligilactobacillus saerimneri	228229	TRUE
2291323	2291323	Lactobacillaceae bacterium		SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958			Lactobacillaceae bacterium	2291323	FALSE
2292255	2292255	Levilactobacillus suantsaii	(Liou et al. 2019) Zheng et al. 2020	SPECIES	Lactobacillus suantsaii	Liou et al. 2019		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Levilactobacillus	2767886	Levilactobacillus suantsaii	2292255	TRUE
2293129	2293129	Roseburia sp. AF20-18LB		SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Clostridia	186801	Lachnospirales	3085636	Lachnospiraceae	186803	Roseburia	841	Roseburia sp. AF20-18LB	2293129	FALSE
2304606	2304606	Companilactobacillus zhachilii	(Zhang et al. 2019) Zheng et al. 2020	SPECIES	Lactobacillus zhachilii	Zhang et al. 2019		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Companilactobacillus	2767879	Companilactobacillus zhachilii	2304606	TRUE
233055	233055	Desulfitobacterium dichloroeliminans	De Wildeman et al. 2003	SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Clostridia	186801	Eubacteriales	186802	Desulfitobacteriaceae	2937909	Desulfitobacterium	36853	Desulfitobacterium dichloroeliminans	233055	FALSE
237446	237446	Lactobacillus kitasatonis	Mukai et al. 2003	SPECIES				yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lactobacillus	1578	Lactobacillus kitasatonis	237446	TRUE
238012	238012	Companilactobacillus tucceti	(Chenoll et al. 2009) Zheng et al. 2020	SPECIES	Lactobacillus tucceti	Chenoll et al. 2009		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Companilactobacillus	2767879	Companilactobacillus tucceti	238012	TRUE
2485925	2485925	Oscillospiraceae bacterium		SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Clostridia	186801	Eubacteriales	186802	Oscillospiraceae	216572			Oscillospiraceae bacterium	2485925	FALSE
2486003	2486003	Companilactobacillus keshanensis	(Wei and Gu 2019) Zheng et al. 2020	SPECIES	Lactobacillus keshanensis	Wei and Gu 2019		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Companilactobacillus	2767879	Companilactobacillus keshanensis	2486003	TRUE
2486004	2486004	Companilactobacillus kedongensis	(Wei and Gu 2019) Zheng et al. 2020	SPECIES	Lactobacillus kedongensis	Wei and Gu 2019		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Companilactobacillus	2767879	Companilactobacillus kedongensis	2486004	TRUE
2486005	2486005	Companilactobacillus baiquanensis	(Wei and Gu 2019) Zheng et al. 2020	SPECIES	Lactobacillus baiquanensis	Wei and Gu 2019		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Companilactobacillus	2767879	Companilactobacillus baiquanensis	2486005	TRUE
2486006	2486006	Companilactobacillus jidongensis	(Wei and Gu 2019) Zheng et al. 2020	SPECIES	Lactobacillus jidongensis	Wei and Gu 2019		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Companilactobacillus	2767879	Companilactobacillus jidongensis	2486006	TRUE
2486007	2486007	Companilactobacillus hulinensis	(Wei and Gu 2019) Zheng et al. 2020	SPECIES	Lactobacillus hulinensis	Wei and Gu 2019		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Companilactobacillus	2767879	Companilactobacillus hulinensis	2486007	TRUE
2486008	2486008	Companilactobacillus mishanensis	(Wei and Gu 2019) Zheng et al. 2020	SPECIES	Lactobacillus mishanensis	Wei and Gu 2019		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Companilactobacillus	2767879	Companilactobacillus mishanensis	2486008	TRUE
2486009	2486009	Companilactobacillus zhongbaensis	(Wei and Gu 2019) Zheng et al. 2020	SPECIES	Lactobacillus zhongbaensis	Wei and Gu 2019		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Companilactobacillus	2767879	Companilactobacillus zhongbaensis	2486009	TRUE
2486025	2486025	Levilactobacillus mulengensis	(Long and Gu 2019) Zheng et al. 2020	SPECIES	Lactobacillus mulengensis	Long and Gu 2019		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Levilactobacillus	2767886	Levilactobacillus mulengensis	2486025	TRUE
2487723	2487723	Companilactobacillus suantsaicola	Zheng et al. 2020	SPECIES				yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Companilactobacillus	2767879	Companilactobacillus suantsaicola	2487723	TRUE
2494733	2494733	Fulvivirga marina	Zhao et al. 2022	SPECIES				yes	CFB group bacteria	Bacteria	2	Pseudomonadati	3379134	Bacteroidota	976	Cytophagia	768503	Cytophagales	768507	Fulvivirgaceae	2762286	Fulvivirga	396811	Fulvivirga marina	2494733	TRUE
2495899	2495899	Lactobacillus xujianguonis	Meng et al. 2020	SPECIES				yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lactobacillus	1578	Lactobacillus xujianguonis	2495899	TRUE
2499140	2499140	Negativicutes bacterium		SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Negativicutes	909932							Negativicutes bacterium	2499140	FALSE
2508708	2508708	Lactobacillus mulieris	Rocha et al. 2020	SPECIES				yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lactobacillus	1578	Lactobacillus mulieris	2508708	TRUE
2559914	2559914	Companilactobacillus huachuanensis	(Fu and Gu 2019) Zheng et al. 2020	SPECIES	Lactobacillus huachuanensis	Fu and Gu 2019		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Companilactobacillus	2767879	Companilactobacillus huachuanensis	2559914	TRUE
2584183	2584183	Companilactobacillus halodurans	Zheng et al. 2020	SPECIES				yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Companilactobacillus	2767879	Companilactobacillus halodurans	2584183	TRUE
2594495	2594495	Lactobacillus sp. PV034		SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lactobacillus	1578	Lactobacillus sp. PV034	2594495	FALSE
2596827	2596827	Lactobacillus sp. LL6		SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lactobacillus	1578	Lactobacillus sp. LL6	2596827	FALSE
2620435	2620435	unclassified Lactobacillus		NO_RANK				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lactobacillus	1578			FALSE
2624479	2624479	unclassified Eubacterium (in: firmicutes)		NO_RANK				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Clostridia	186801	Eubacteriales	186802	Eubacteriaceae	186806	Eubacterium	1730			FALSE
2652289	2652289	Selenomonadaceae bacterium		SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Negativicutes	909932	Selenomonadales	909929	Selenomonadaceae	1843491			Selenomonadaceae bacterium	2652289	FALSE
2660712	2660712	Defluviitaleaceae bacterium		SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Clostridia	186801	Lachnospirales	3085636	Defluviitaleaceae	1185407			Defluviitaleaceae bacterium	2660712	FALSE
267363	267363	Levilactobacillus zymae	(Vancanneyt et al. 2005) Zheng et al. 2020	SPECIES	Lactobacillus zymae	Vancanneyt et al. 2005		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Levilactobacillus	2767886	Levilactobacillus zymae	267363	TRUE
267364	267364	Levilactobacillus acidifarinae	(Vancanneyt et al. 2005) Zheng et al. 2020	SPECIES	Lactobacillus acidifarinae	Vancanneyt et al. 2005		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Levilactobacillus	2767886	Levilactobacillus acidifarinae	267364	TRUE
267818	267818	Lactobacillus kefiranofaciens	Fujisawa et al. 1988	SPECIES				yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lactobacillus	1578	Lactobacillus kefiranofaciens	267818	TRUE
2695882	2695882	Lactobacillus sp. 3B(2020)		SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lactobacillus	1578	Lactobacillus sp. 3B(2020)	2695882	FALSE
2714036	2714036	Companilactobacillus pabuli	Jung et al. 2021	SPECIES				yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Companilactobacillus	2767879	Companilactobacillus pabuli	2714036	TRUE
2742598	2742598	Limosilactobacillus	Zheng et al. 2020	GENUS				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Limosilactobacillus	2742598			TRUE
2742600	2742600	Limosilactobacillus urinaemulieris	Ksiezarek et al. 2021	SPECIES				yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Limosilactobacillus	2742598	Limosilactobacillus urinaemulieris	2742600	TRUE
2742601	2742601	Limosilactobacillus portuensis	Ksiezarek et al. 2021	SPECIES				yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Limosilactobacillus	2742598	Limosilactobacillus portuensis	2742601	TRUE
2751030	2751030	Lactobacillus sp. M0396		SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lactobacillus	1578	Lactobacillus sp. M0396	2751030	FALSE
2751031	2751031	Lactobacillus sp. M0403		SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lactobacillus	1578	Lactobacillus sp. M0403	2751031	FALSE
2759747	2759747	Limosilactobacillus balticus	Li et al. 2021	SPECIES				yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Limosilactobacillus	2742598	Limosilactobacillus balticus	2759747	TRUE
2759748	2759748	Limosilactobacillus agrestis	Li et al. 2021	SPECIES				yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Limosilactobacillus	2742598	Limosilactobacillus agrestis	2759748	TRUE
2759752	2759752	Limosilactobacillus albertensis	Li et al. 2021	SPECIES				yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Limosilactobacillus	2742598	Limosilactobacillus albertensis	2759752	TRUE
2759755	2759755	Limosilactobacillus rudii	Li et al. 2021	SPECIES				yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Limosilactobacillus	2742598	Limosilactobacillus rudii	2759755	TRUE
2759855	2759855	Limosilactobacillus fastidiosus	Li et al. 2021	SPECIES				yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Limosilactobacillus	2742598	Limosilactobacillus fastidiosus	2759855	TRUE
2762243	2762243	Limosilactobacillus avistercoris	Gilroy et al. 2021	SPECIES				yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Limosilactobacillus	2742598	Limosilactobacillus avistercoris	2762243	FALSE
2767886	2767886	Levilactobacillus	Zheng et al. 2020	GENUS				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Levilactobacillus	2767886			TRUE
2767887	2767887	Ligilactobacillus	Zheng et al. 2020	GENUS				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Ligilactobacillus	2767887			TRUE
2767893	2767893	Lentilactobacillus	Zheng et al. 2020	GENUS				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lentilactobacillus	2767893			TRUE
2767905	2767905	Companilactobacillus sp.		SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Companilactobacillus	2767879	Companilactobacillus sp.	2767905	FALSE
2773925	2773925	Limosilactobacillus sp.		SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Limosilactobacillus	2742598	Limosilactobacillus sp.	2773925	FALSE
2797258	2797258	Lactobacillus nasalidis	Suzuki-Hashido et al. 2021	SPECIES				yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lactobacillus	1578	Lactobacillus nasalidis	2797258	TRUE
2799566	2799566	Levilactobacillus wangkuiensis	Liu et al. 2021	SPECIES				yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Levilactobacillus	2767886	Levilactobacillus wangkuiensis	2799566	TRUE
2799568	2799568	Levilactobacillus lanxiensis	Liu et al. 2021	SPECIES				yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Levilactobacillus	2767886	Levilactobacillus lanxiensis	2799568	TRUE
2801451	2801451	Companilactobacillus bobalius	(Mañes-Lázaro et al. 2008) Zheng et al. 2020	SPECIES	Lactobacillus bobalius	Mañes-Lázaro et al. 2008		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Companilactobacillus	2767879	Companilactobacillus bobalius	2801451	TRUE
2801452	2801452	Companilactobacillus kimchii	(Yoon et al. 2000) Zheng et al. 2020	SPECIES	Lactobacillus kimchii	Yoon et al. 2000		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Companilactobacillus	2767879	Companilactobacillus kimchii	2801452	TRUE
2813935	2813935	uncultured Secundilactobacillus sp.		SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Secundilactobacillus	2767892	uncultured Secundilactobacillus sp.	2813935	FALSE
2823317	2823317	Phascolarctobacterium sp. Marseille-Q4147		SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Negativicutes	909932	Acidaminococcales	1843488	Acidaminococcaceae	909930	Phascolarctobacterium	33024	Phascolarctobacterium sp. Marseille-Q4147	2823317	FALSE
2831996	2831996	Eubacteriales bacterium		SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Clostridia	186801	Eubacteriales	186802					Eubacteriales bacterium	2831996	FALSE
2832643	2832643	Caudoviricetes sp.		SPECIES				no	viruses	Duplodnaviria	2731341	Heunggongvirae	2731360	Uroviricota	2731618	Caudoviricetes	2731619							Caudoviricetes sp.	2832643	FALSE
2837629	2837629	uncultured Limosilactobacillus sp.		SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Limosilactobacillus	2742598	uncultured Limosilactobacillus sp.	2837629	FALSE
2837633	2837633	uncultured Ligilactobacillus sp.		SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Ligilactobacillus	2767887	uncultured Ligilactobacillus sp.	2837633	FALSE
2838636	2838636	Candidatus Lactobacillus pullistercoris	Gilroy et al. 2021	SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lactobacillus	1578	Candidatus Lactobacillus pullistercoris	2838636	FALSE
2838645	2838645	Candidatus Limosilactobacillus excrementigallinarum	Gilroy et al. 2021	SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Limosilactobacillus	2742598	Candidatus Limosilactobacillus excrementigallinarum	2838645	FALSE
2838646	2838646	Candidatus Limosilactobacillus faecipullorum	Gilroy et al. 2021	SPECIES				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Limosilactobacillus	2742598	Candidatus Limosilactobacillus faecipullorum	2838646	FALSE
